,epoch,train,validation
0,20,-1.0749142169952393,-1.0741064548492432
1,40,-0.949116051197052,-0.9512288570404053
2,60,-0.875346839427948,-0.8810182213783264
3,80,-0.8343759179115295,-0.8299339413642883
4,100,-0.6465569138526917,-0.6411947011947632
5,120,-0.6705995202064514,-0.6602970957756042
6,140,-0.687696099281311,-0.6930921077728271
7,160,-0.748545229434967,-0.7505598664283752
8,180,-0.6095935702323914,-0.5923832058906555
9,200,-0.6229556202888489,-0.6218578815460205
10,220,-0.5792260766029358,-0.575200617313385
11,240,-0.8783212304115295,-0.8771128058433533
12,260,-0.5902974605560303,-0.5808534622192383
13,280,-0.5469964146614075,-0.5509130358695984
14,300,-0.6342676877975464,-0.6228381991386414
15,320,-0.6130553483963013,-0.6084951758384705
16,340,-0.5843610763549805,-0.5678579211235046
17,360,-0.5789759755134583,-0.5781458616256714
18,380,-0.7062340378761292,-0.6934086680412292
19,400,-0.5987350940704346,-0.5978061556816101
20,420,-0.8245192170143127,-0.8432120680809021
21,440,-0.6626659035682678,-0.6583361029624939
22,460,-0.5501614809036255,-0.5606889724731445
23,480,-0.675349771976471,-0.6776004433631897
24,500,-0.9296010136604309,-0.9488102793693542
25,520,-0.6060202121734619,-0.6070541739463806
26,540,-0.6179330945014954,-0.6135716438293457
27,560,-0.5701111555099487,-0.5759406685829163
28,580,-0.5962458848953247,-0.5885998010635376
29,600,-0.8656352758407593,-0.8776064515113831
30,620,-0.9053476452827454,-0.9141270518302917
31,640,-0.6489374041557312,-0.6414113640785217
32,660,-0.5722469687461853,-0.5696547031402588
33,680,-0.615826427936554,-0.6243433356285095
34,700,-0.6314977407455444,-0.6054692268371582
35,720,-0.6695913076400757,-0.6753374934196472
36,740,-1.093902587890625,-1.1069865226745605
37,760,-0.6768773198127747,-0.6704689264297485
38,780,-0.6673316359519958,-0.6496536731719971
39,800,-0.6360894441604614,-0.6264902353286743
40,820,-0.5689810514450073,-0.5574207901954651
41,840,-0.5783830285072327,-0.5684588551521301
42,860,-0.6923329830169678,-0.7109671235084534
43,880,-0.6386247277259827,-0.6501927375793457
44,900,-0.8003574013710022,-0.8109334111213684
45,920,-0.6460278034210205,-0.6381726264953613
46,940,-0.6573017835617065,-0.6495733261108398
47,960,-0.6041538119316101,-0.5935284495353699
48,980,-0.7330142259597778,-0.7200769186019897
49,1000,-0.7239658236503601,-0.722710371017456
