,epoch,train,validation
0,20,-1.1026833057403564,-1.0983272790908813
1,40,-0.9049647450447083,-0.9104273915290833
2,60,-0.7868188619613647,-0.8037288188934326
3,80,-0.7658834457397461,-0.7745623588562012
4,100,-0.7383418679237366,-0.7336058020591736
5,120,-0.5931548476219177,-0.5807005763053894
6,140,-0.6295226216316223,-0.6435069441795349
7,160,-0.6016277074813843,-0.6025854349136353
8,180,-0.6187043190002441,-0.6166346669197083
9,200,-0.6262314319610596,-0.6376725435256958
10,220,-0.5692842602729797,-0.5614715218544006
11,240,-0.7316722869873047,-0.7158819437026978
12,260,-0.6192570328712463,-0.6247024536132812
13,280,-0.603857696056366,-0.596165657043457
14,300,-0.5977903604507446,-0.6051031947135925
15,320,-0.6257027387619019,-0.6297188997268677
16,340,-0.5749422907829285,-0.5664846301078796
17,360,-0.5433558821678162,-0.5256633162498474
18,380,-0.5929369926452637,-0.5837827324867249
19,400,-0.7073858976364136,-0.693392813205719
20,420,-0.5795871615409851,-0.571439802646637
21,440,-0.7055374979972839,-0.7005434632301331
22,460,-0.6144166588783264,-0.6204697489738464
23,480,-0.6144183278083801,-0.6133213639259338
24,500,-0.5600048303604126,-0.5641118288040161
25,520,-0.5717447400093079,-0.551080584526062
26,540,-0.5607094168663025,-0.5472116470336914
27,560,-0.6041958928108215,-0.5927402973175049
28,580,-0.5417746305465698,-0.5403892993927002
29,600,-0.6096054911613464,-0.6014678478240967
30,620,-0.6612062454223633,-0.657666027545929
31,640,-0.5858951210975647,-0.5726510286331177
32,660,-0.6367724537849426,-0.6220023036003113
33,680,-0.6485423445701599,-0.6378117799758911
34,700,-0.5795875787734985,-0.5756607055664062
35,720,-0.6136749386787415,-0.620255708694458
36,740,-0.5557372570037842,-0.5462736487388611
37,760,-0.5566293597221375,-0.583832859992981
38,780,-0.576635479927063,-0.5826200842857361
39,800,-0.5529569387435913,-0.5645134449005127
40,820,-0.6730467677116394,-0.6952933073043823
41,840,-0.6648407578468323,-0.6652922630310059
42,860,-0.7501235604286194,-0.7391090393066406
43,880,-0.6404263973236084,-0.6423148512840271
44,900,-0.6169469952583313,-0.6082649827003479
45,920,-0.6012519598007202,-0.6086897253990173
46,940,-0.7527685761451721,-0.7569622993469238
47,960,-0.5750494003295898,-0.572261393070221
48,980,-0.612430989742279,-0.6056587100028992
49,1000,-0.673533022403717,-0.6592129468917847
