epoch,cgan,klcgan,pearson,rklcgan
20,0.26313347,0.4658158,0.31284165,0.26936096
40,0.16792408,0.36664987,0.19008857,0.16034229
60,0.17166315,0.18270037,0.15697138,0.15286477
80,0.15273434,0.17054962,0.15624383,0.14585523
100,0.15313052,0.16036806,0.14630243,0.14389278
120,0.15091759,0.16006033,0.14140587,0.16192268
140,0.1535119,0.14592019,0.16143955,0.16078386
160,0.1614545,0.14183612,0.15325761,0.15040791
180,0.15240972,0.13471474,0.14812267,0.14996535
200,0.14676891,0.14617471,0.14916936,0.14704776
220,0.15077454,0.13727462,0.15335414,0.14625302
240,0.18296129,0.16207443,0.17056702,0.16522284
260,0.15741721,0.15211573,0.14717478,0.15527768
280,0.16106363,0.20196459,0.13809258,0.18225867
300,0.16831915,0.14692952,0.15328889,0.16495666
320,0.15569544,0.21746144,0.15401483,0.14703484
340,0.15529722,0.14891857,0.17084971,0.16310894
360,0.153434,0.14176394,0.15877487,0.1720728
380,0.1643696,0.15282707,0.16016193,0.15832871
400,0.15796888,0.1510594,0.16356283,0.16224056
420,0.17999752,0.1501861,0.17085695,0.15925443
440,0.16309246,0.19823408,0.16362602,0.16670798
460,0.15692039,0.14802581,0.16136518,0.17640555
480,0.17013663,0.19429971,0.15788463,0.15368107
500,0.19626915,0.1838898,0.14908808,0.1603146
520,0.15797351,0.14842632,0.15126346,0.15936904
540,0.15422842,0.14525627,0.15676741,0.16500887
560,0.16275196,0.15276946,0.19334038,0.15387772
580,0.18715708,0.1493217,0.15019485,0.15477335
600,0.20253432,0.15519223,0.19699547,0.17004383
620,0.23777786,0.1539728,0.16614524,0.17013866
640,0.1750311,0.18543263,0.14959961,0.14934371
660,0.1791698,0.16469981,0.15366736,0.1663827
680,0.15699439,0.16706203,0.17083938,0.15285109
700,0.17190878,0.15328269,0.16244377,0.15323879
720,0.17380415,0.16430488,0.20928578,0.17144006
740,0.23421477,0.15707165,0.169858,0.1453421
760,0.17650332,0.1525124,0.1577928,0.16199568
780,0.16401994,0.14926004,0.16114788,0.18103968
800,0.15507641,0.18557726,0.1489273,0.14260486
820,0.15577556,0.14612725,0.22336844,0.1586493
840,0.16091822,0.16351682,0.18722393,0.16025782
860,0.16999218,0.15024224,0.17595702,0.1660226
880,0.18268329,0.19505377,0.16999513,0.14975856
900,0.18187237,0.15380253,0.16716667,0.1896181
920,0.1617973,0.18836573,0.18332732,0.14760612
940,0.17473765,0.14835458,0.19391163,0.14697064
960,0.17091838,0.15819092,0.158131,0.17460178
980,0.19582911,0.15856902,0.18027662,0.16637927
1000,0.16216229,0.15634792,0.18763311,0.17766903
