,epoch,train,validation
0,20,-1.2999460697174072,-1.278171181678772
1,40,-1.1519849300384521,-1.1280980110168457
2,60,-0.985971212387085,-0.9808956980705261
3,80,-0.9625369310379028,-0.9523518681526184
4,100,-0.8561978936195374,-0.8515669107437134
5,120,-0.8049878478050232,-0.7930122017860413
6,140,-0.7511825561523438,-0.7437018752098083
7,160,-0.8031082153320312,-0.7910308241844177
8,180,-0.8756903409957886,-0.8738449811935425
9,200,-0.8360179662704468,-0.833501935005188
10,220,-0.7301902770996094,-0.7262916564941406
11,240,-0.67914217710495,-0.6854538321495056
12,260,-0.7317959070205688,-0.7246808409690857
13,280,-0.696341872215271,-0.6728600859642029
14,300,-0.6747390031814575,-0.6614948511123657
15,320,-0.645357608795166,-0.6440888047218323
16,340,-0.8406365513801575,-0.8149423599243164
17,360,-0.6009953618049622,-0.5945113301277161
18,380,-0.5861551761627197,-0.5837704539299011
19,400,-0.8164811730384827,-0.8018566966056824
20,420,-0.8138322234153748,-0.8125728964805603
21,440,-0.5920621156692505,-0.6022221446037292
22,460,-0.5531666874885559,-0.5481733083724976
23,480,-0.5478740930557251,-0.5443417429924011
24,500,-0.7243036031723022,-0.7024028301239014
25,520,-0.6356433629989624,-0.6279256343841553
26,540,-0.5512378215789795,-0.5438567996025085
27,560,-0.578173041343689,-0.5858303308486938
28,580,-0.613334059715271,-0.6021521687507629
29,600,-0.5741764903068542,-0.5661742091178894
30,620,-0.5647389888763428,-0.5625840425491333
31,640,-0.630217969417572,-0.6272075176239014
32,660,-0.5266957879066467,-0.5401027202606201
33,680,-0.5326709151268005,-0.5271164178848267
34,700,-0.5565990209579468,-0.5453801155090332
35,720,-0.5442966222763062,-0.5350912809371948
36,740,-0.5684669017791748,-0.5575433969497681
37,760,-0.6635943055152893,-0.6773293018341064
38,780,-0.5837841033935547,-0.5729546546936035
39,800,-0.5847902894020081,-0.5826539397239685
40,820,-0.6001265645027161,-0.5986884236335754
41,840,-0.5536709427833557,-0.5518935322761536
42,860,-0.5550264716148376,-0.5436285138130188
43,880,-0.57814621925354,-0.5916927456855774
44,900,-0.5346762537956238,-0.5370585918426514
45,920,-0.6543184518814087,-0.6500598788261414
46,940,-0.5477422475814819,-0.5406171083450317
47,960,-0.6568974852561951,-0.6528401970863342
48,980,-0.5668030977249146,-0.5751876831054688
49,1000,-0.5809332728385925,-0.5816683173179626
