,epoch,train,validation
0,20,-1.2960245609283447,-1.288287878036499
1,40,-1.1187628507614136,-1.1202646493911743
2,60,-1.0217218399047852,-1.0227946043014526
3,80,-0.969844400882721,-0.9924449920654297
4,100,-0.9384146332740784,-0.9359554052352905
5,120,-0.9010972380638123,-0.9062311053276062
6,140,-0.937142014503479,-0.9461379647254944
7,160,-0.8955209851264954,-0.8904204964637756
8,180,-0.8681028485298157,-0.876041829586029
9,200,-0.8677976727485657,-0.877678632736206
10,220,-0.9202191829681396,-0.9251729846000671
11,240,-0.8443973660469055,-0.8303865790367126
12,260,-0.8793325424194336,-0.8448317050933838
13,280,-0.8539286851882935,-0.8267112374305725
14,300,-0.8345828652381897,-0.7870450615882874
15,320,-0.8376190662384033,-0.7925562858581543
16,340,-0.8708768486976624,-0.836332380771637
17,360,-0.8801248669624329,-0.8366743326187134
18,380,-0.8181004524230957,-0.7874147295951843
19,400,-0.9108871817588806,-0.8578469157218933
20,420,-0.8224632143974304,-0.8018388152122498
21,440,-0.869600236415863,-0.8033832907676697
22,460,-0.8173995614051819,-0.7806935906410217
23,480,-0.9131222367286682,-0.8631248474121094
24,500,-0.8681805729866028,-0.834570050239563
25,520,-0.8477186560630798,-0.8107852935791016
26,540,-0.8145166635513306,-0.7763637900352478
27,560,-0.9207783341407776,-0.8661122918128967
28,580,-0.9393515586853027,-0.9089674353599548
29,600,-0.8320248126983643,-0.8018633723258972
30,620,-0.843233585357666,-0.8057496547698975
31,640,-0.8887608051300049,-0.8493703603744507
32,660,-0.8401798605918884,-0.7915749549865723
33,680,-0.9198144674301147,-0.871064305305481
34,700,-0.8856557607650757,-0.8456883430480957
35,720,-1.0104812383651733,-0.9696040153503418
36,740,-0.8756579756736755,-0.8260186910629272
37,760,-0.8833515048027039,-0.8215804696083069
38,780,-0.9501338601112366,-0.9297986626625061
39,800,-0.9589166045188904,-0.9443255066871643
40,820,-0.8706508874893188,-0.8367747664451599
41,840,-0.9647675156593323,-0.931537926197052
42,860,-0.9742944240570068,-0.9412190914154053
43,880,-0.8910486698150635,-0.8636253476142883
44,900,-1.093644380569458,-1.06756591796875
45,920,-0.9236728549003601,-0.8952137231826782
46,940,-0.9555187225341797,-0.9208817481994629
47,960,-0.9232619404792786,-0.8793530464172363
48,980,-0.8897882699966431,-0.8444625735282898
49,1000,-0.9160265922546387,-0.8806816339492798
