,epoch,train,validation
0,100,-1.5878968238830566,-1.5650074481964111
1,200,-1.5831456184387207,-1.559025764465332
2,300,-1.580529808998108,-1.5550639629364014
3,400,-1.5794076919555664,-1.552180290222168
4,500,-1.573473334312439,-1.5453890562057495
5,600,-1.5625555515289307,-1.5313178300857544
6,700,-1.5332355499267578,-1.5052450895309448
7,800,-1.4957002401351929,-1.4696472883224487
8,900,-1.4624370336532593,-1.4399240016937256
9,1000,-1.4292844533920288,-1.4121116399765015
10,1100,-1.3954987525939941,-1.3752708435058594
11,1200,-1.3058475255966187,-1.2946324348449707
12,1300,-1.1802767515182495,-1.1752277612686157
13,1400,-1.1138250827789307,-1.110243320465088
14,1500,-1.1131947040557861,-1.1069585084915161
15,1600,-1.105426549911499,-1.0992043018341064
16,1700,-1.0966557264328003,-1.093185544013977
17,1800,-1.0945024490356445,-1.092828631401062
18,1900,-1.08442223072052,-1.0844247341156006
19,2000,-1.0875129699707031,-1.0833351612091064
20,2100,-1.0761830806732178,-1.0758390426635742
21,2200,-1.0679489374160767,-1.0737800598144531
22,2300,-1.0705926418304443,-1.0689953565597534
23,2400,-1.0682505369186401,-1.0710259675979614
24,2500,-1.0547277927398682,-1.0606029033660889
25,2600,-1.0640949010849,-1.0649791955947876
26,2700,-1.0618088245391846,-1.0612101554870605
27,2800,-1.0419992208480835,-1.0537925958633423
28,2900,-1.0441019535064697,-1.0500562191009521
29,3000,-1.0433560609817505,-1.0361168384552002
30,3100,-1.038731575012207,-1.0437084436416626
31,3200,-1.0357649326324463,-1.0426136255264282
32,3300,-1.0343637466430664,-1.027933955192566
33,3400,-1.0322299003601074,-1.0271756649017334
34,3500,-1.0290858745574951,-1.028485894203186
35,3600,-1.0169638395309448,-1.032852053642273
36,3700,-1.0132837295532227,-1.0180013179779053
37,3800,-1.0036118030548096,-1.0087637901306152
38,3900,-1.0072641372680664,-1.0050139427185059
39,4000,-1.0027703046798706,-1.0053857564926147
40,4100,-0.9999988079071045,-1.0015100240707397
41,4200,-1.0002155303955078,-0.9978393316268921
42,4300,-0.9951467514038086,-0.992728054523468
43,4400,-0.9991180300712585,-1.002260684967041
44,4500,-0.9847314357757568,-0.990263044834137
45,4600,-0.9857800006866455,-0.9938849210739136
