,epoch,discriminator,wasserstein distance,generator
0,100,-0.006232205778360367,1.000526,-0.009640621021389961
1,200,-0.027726562693715096,0.9830529,-0.009649962186813354
2,300,-0.05580509081482887,0.95826143,-0.010968697257339954
3,400,-0.09347552806138992,0.9240984,-0.0011915814829990268
4,500,-0.1266075074672699,0.87396985,0.009721193462610245
5,600,-0.18200072646141052,0.808108,0.027070077136158943
6,700,-0.26448115706443787,0.7217872,0.06402657181024551
7,800,-0.33439233899116516,0.6249701,0.10569224506616592
8,900,-0.43874555826187134,0.5384918,0.1580197513103485
9,1000,-0.5360300540924072,0.4747062,0.22790102660655975
10,1100,-0.6994385719299316,0.39228606,0.2963370978832245
11,1200,-0.8387945294380188,0.3025532,0.39142265915870667
12,1300,-1.013834834098816,0.22051682,0.48674094676971436
13,1400,-1.259596586227417,0.1896767,0.6197546124458313
14,1500,-1.4917899370193481,0.18885155,0.7631569504737854
15,1600,-1.7455769777297974,0.18330617,0.9284112453460693
16,1700,-2.1321771144866943,0.18349451,1.109220266342163
17,1800,-2.626004934310913,0.18062668,1.3262732028961182
18,1900,-2.801454544067383,0.17944187,1.5558838844299316
19,2000,-3.162025213241577,0.17764793,1.8447461128234863
20,2100,-3.9422171115875244,0.17823362,2.128824472427368
21,2200,-4.315237045288086,0.1762472,2.4660520553588867
22,2300,-4.812798500061035,0.17484537,2.8941030502319336
23,2400,-5.543813228607178,0.17669372,3.2442994117736816
24,2500,-6.130849838256836,0.17340825,3.750208854675293
25,2600,-6.990299701690674,0.17408396,4.234643459320068
26,2700,-8.16483211517334,0.17444414,4.7433648109436035
27,2800,-8.319925308227539,0.16961491,5.43423318862915
28,2900,-9.466205596923828,0.17381224,5.961820602416992
29,3000,-10.182267189025879,0.17074676,6.867180824279785
30,3100,-11.092633247375488,0.17294966,7.533593654632568
31,3200,-12.566123962402344,0.16716439,8.357845306396484
32,3300,-13.211800575256348,0.16548872,9.432769775390625
33,3400,-14.053470611572266,0.1659909,10.286149978637695
34,3500,-15.169583320617676,0.16650562,11.321396827697754
35,3600,-15.391533851623535,0.16522223,12.616349220275879
36,3700,-16.72064781188965,0.16890259,13.465010643005371
37,3800,-17.9672794342041,0.16429827,14.641039848327637
38,3900,-17.74781036376953,0.16466902,15.982684135437012
39,4000,-19.380109786987305,0.1662451,17.582019805908203
40,4100,-21.45956802368164,0.16644585,18.974794387817383
41,4200,-18.935813903808594,0.16918612,20.12238311767578
42,4300,-22.830806732177734,0.16632272,22.279281616210938
43,4400,-21.734493255615234,0.16606002,23.448575973510742
44,4500,-20.43439292907715,0.16234829,24.462045669555664
45,4600,-21.82026481628418,0.16660869,26.953161239624023
46,4700,-23.630510330200195,0.16439967,27.330148696899414
47,4800,-24.48935317993164,0.16325615,29.53140640258789
48,4900,-20.81954574584961,0.16510893,29.84725570678711
49,5000,-22.461105346679688,0.16545053,31.00530433654785
50,5100,-21.426525115966797,0.16305822,31.533761978149414
51,5200,-22.322954177856445,0.16376461,32.0872917175293
52,5300,-22.718536376953125,0.16509,32.96748352050781
53,5400,-21.496334075927734,0.16413769,32.922000885009766
54,5500,-22.034250259399414,0.16463,32.48345184326172
55,5600,-22.927640914916992,0.16002895,33.0651969909668
56,5700,-23.838342666625977,0.1624633,32.07757568359375
57,5800,-21.817140579223633,0.16139698,32.307373046875
58,5900,-21.448530197143555,0.16347934,32.36823654174805
59,6000,-23.880855560302734,0.16484968,32.702423095703125
60,6100,-22.25724983215332,0.16313814,32.628082275390625
61,6200,-21.48532485961914,0.16606584,32.34675979614258
62,6300,-23.940404891967773,0.16374719,32.14061737060547
63,6400,-23.385040283203125,0.16176835,32.09431457519531
64,6500,-21.065006256103516,0.1623206,31.9444637298584
65,6600,-23.63478660583496,0.15959565,32.11649703979492
66,6700,-22.599258422851562,0.16268425,31.909643173217773
67,6800,-23.77093505859375,0.16489762,32.188961029052734
68,6900,-20.641143798828125,0.16355236,31.997215270996094
69,7000,-19.630393981933594,0.16202708,31.5579776763916
70,7100,-23.374975204467773,0.16005033,31.675962448120117
71,7200,-24.284812927246094,0.16255933,31.909048080444336
72,7300,-22.56186294555664,0.16058977,31.375816345214844
73,7400,-20.3749942779541,0.16367723,31.16204071044922
74,7500,-23.728759765625,0.16354518,31.856779098510742
75,7600,-23.254684448242188,0.16530569,31.127214431762695
76,7700,-25.797088623046875,0.16113329,31.95758628845215
77,7800,-23.449338912963867,0.1618905,32.03541564941406
78,7900,-21.536537170410156,0.15853874,31.300600051879883
79,8000,-19.105030059814453,0.16340594,31.392065048217773
80,8100,-23.54741668701172,0.16173089,31.303367614746094
81,8200,-23.309118270874023,0.16015285,31.29825210571289
82,8300,-22.436607360839844,0.16068481,31.652925491333008
83,8400,-23.456951141357422,0.1588026,31.39305877685547
84,8500,-23.081735610961914,0.16265243,31.413833618164062
85,8600,-22.002384185791016,0.16038151,31.4112606048584
86,8700,-22.081052780151367,0.16005373,31.796396255493164
87,8800,-19.952550888061523,0.16112366,31.835054397583008
88,8900,-22.59740447998047,0.16064093,31.706165313720703
89,9000,-21.84453010559082,0.1623459,31.778886795043945
90,9100,-23.11581802368164,0.15969189,32.42312240600586
91,9200,-23.26496696472168,0.15574507,32.061092376708984
92,9300,-22.384952545166016,0.15943961,32.277618408203125
93,9400,-24.148160934448242,0.1574749,32.3812370300293
94,9500,-24.021291732788086,0.15949127,32.38286209106445
95,9600,-22.523468017578125,0.15976581,32.60000228881836
96,9700,-24.680234909057617,0.16137856,32.44890213012695
97,9800,-21.717403411865234,0.15970713,32.26926803588867
98,9900,-21.645580291748047,0.15622194,32.980709075927734
99,10000,-21.40337371826172,0.1619969,32.3086051940918
100,10100,-21.17793846130371,0.16052353,32.35167694091797
101,10200,-24.327739715576172,0.15593371,32.75490188598633
102,10300,-22.948686599731445,0.15955329,33.04204177856445
103,10400,-23.049381256103516,0.1557627,32.30503463745117
104,10500,-24.55735969543457,0.15562771,32.24940490722656
105,10600,-22.628883361816406,0.157382,32.17561340332031
106,10700,-22.37571907043457,0.1567921,32.86102294921875
107,10800,-23.519262313842773,0.15619801,32.433719635009766
108,10900,-25.089588165283203,0.15681785,32.90779113769531
109,11000,-22.962215423583984,0.15555608,32.21501922607422
110,11100,-22.475120544433594,0.1581731,32.544979095458984
111,11200,-23.811241149902344,0.15817042,32.53031539916992
112,11300,-25.725595474243164,0.15858561,32.320945739746094
113,11400,-21.291770935058594,0.15829879,32.641090393066406
114,11500,-23.096811294555664,0.1570349,32.706546783447266
115,11600,-24.379596710205078,0.15592866,33.01643753051758
116,11700,-21.71222496032715,0.15846309,32.223270416259766
117,11800,-24.63759422302246,0.15944129,33.165714263916016
118,11900,-24.769302368164062,0.15711468,32.776763916015625
119,12000,-24.527751922607422,0.15506351,32.56644821166992
120,12100,-22.29084587097168,0.15492259,32.958229064941406
121,12200,-21.951595306396484,0.15550543,32.66268539428711
122,12300,-23.559873580932617,0.15380737,32.59590530395508
123,12400,-23.337568283081055,0.1531418,32.88130187988281
124,12500,-23.082651138305664,0.15339352,33.28803634643555
125,12600,-21.92329216003418,0.15330239,33.46906661987305
126,12700,-21.00797462463379,0.15119706,33.052947998046875
127,12800,-23.574905395507812,0.15171196,32.82756042480469
128,12900,-20.60386085510254,0.15502478,32.82261657714844
129,13000,-22.332056045532227,0.15467468,32.92103958129883
130,13100,-19.962974548339844,0.1527033,33.056610107421875
131,13200,-23.282468795776367,0.15665159,33.9211540222168
132,13300,-22.582164764404297,0.1532607,33.25613784790039
133,13400,-23.284639358520508,0.15597954,33.03217697143555
134,13500,-26.14560890197754,0.15309656,32.882877349853516
135,13600,-20.582069396972656,0.15560076,33.36821365356445
136,13700,-22.72598648071289,0.15025415,33.76791000366211
137,13800,-23.528858184814453,0.15178812,32.92656707763672
138,13900,-23.099613189697266,0.15251645,33.406150817871094
139,14000,-22.847347259521484,0.15244775,33.415367126464844
140,14100,-22.826505661010742,0.15403682,33.97015380859375
141,14200,-22.521642684936523,0.15152548,33.424468994140625
142,14300,-22.899944305419922,0.1540367,33.61287307739258
143,14400,-21.631624221801758,0.15309583,33.62372589111328
144,14500,-22.924915313720703,0.15445764,34.0240592956543
145,14600,-19.867324829101562,0.15324676,34.046058654785156
146,14700,-27.17839813232422,0.14984554,33.77226257324219
147,14800,-23.761934280395508,0.15219094,33.602481842041016
148,14900,-24.19544792175293,0.15146288,33.99075698852539
149,15000,-21.461795806884766,0.1485664,34.2183723449707
150,15100,-22.548437118530273,0.15065427,34.12998962402344
151,15200,-22.9862060546875,0.15362547,34.73008728027344
152,15300,-21.366201400756836,0.1510075,34.13673400878906
153,15400,-21.947525024414062,0.15416375,34.458473205566406
154,15500,-22.59319305419922,0.15103604,34.35995864868164
155,15600,-22.810649871826172,0.1537068,34.9244384765625
156,15700,-24.390167236328125,0.14945279,34.34333419799805
157,15800,-21.420604705810547,0.15330802,35.036476135253906
158,15900,-22.1080265045166,0.14575134,34.625244140625
159,16000,-22.217571258544922,0.1529194,34.854122161865234
160,16100,-22.923967361450195,0.14730582,34.869632720947266
161,16200,-23.768077850341797,0.15358853,35.0139274597168
162,16300,-20.812902450561523,0.14940065,35.162879943847656
163,16400,-22.43045425415039,0.14970781,35.048160552978516
164,16500,-21.837478637695312,0.14988844,35.4421272277832
165,16600,-23.286476135253906,0.14606918,35.44709396362305
166,16700,-21.998504638671875,0.14806908,35.469482421875
167,16800,-21.635602951049805,0.14914514,35.715606689453125
168,16900,-24.045045852661133,0.15284744,35.57215118408203
169,17000,-20.089927673339844,0.1484231,35.329524993896484
170,17100,-19.416149139404297,0.14696567,36.1518669128418
171,17200,-23.462020874023438,0.14917655,36.066043853759766
172,17300,-26.43694496154785,0.14844657,36.08028793334961
173,17400,-21.04928970336914,0.14436781,35.95235061645508
174,17500,-25.02877426147461,0.14863555,36.67802429199219
175,17600,-24.66059684753418,0.14866634,36.55091857910156
176,17700,-22.776058197021484,0.15160838,36.191612243652344
177,17800,-22.483840942382812,0.14605129,35.733741760253906
178,17900,-22.1381893157959,0.14882764,36.465476989746094
179,18000,-25.250415802001953,0.14943336,36.43296432495117
180,18100,-19.618953704833984,0.15027624,36.962303161621094
181,18200,-22.806337356567383,0.14629722,36.67399597167969
182,18300,-24.049877166748047,0.1479134,37.26854705810547
183,18400,-23.640642166137695,0.14571637,37.554847717285156
184,18500,-21.929563522338867,0.1480575,37.12800216674805
185,18600,-20.58785057067871,0.15031555,37.36485290527344
186,18700,-21.79450225830078,0.14468968,37.710453033447266
187,18800,-23.36724281311035,0.14607598,37.55207824707031
188,18900,-22.895137786865234,0.14590399,37.59117889404297
189,19000,-22.276391983032227,0.14350995,38.0129508972168
190,19100,-22.705114364624023,0.14628974,37.660919189453125
191,19200,-20.963205337524414,0.14537224,38.264686584472656
192,19300,-22.119342803955078,0.14217477,38.0974235534668
193,19400,-22.73695945739746,0.14315492,38.29237365722656
194,19500,-24.125244140625,0.14616786,38.211551666259766
195,19600,-24.322345733642578,0.1419401,38.27864074707031
196,19700,-23.18307113647461,0.14586304,38.393489837646484
197,19800,-21.807756423950195,0.14420468,38.5119743347168
198,19900,-21.84272575378418,0.14465068,38.702781677246094
199,20000,-23.12578010559082,0.14379662,38.94904327392578
200,20100,-21.960222244262695,0.1436002,38.33491134643555
201,20200,-24.61073875427246,0.14244013,39.335514068603516
202,20300,-21.852947235107422,0.14140198,39.186012268066406
203,20400,-22.438920974731445,0.14657356,39.17778396606445
204,20500,-22.585384368896484,0.14418088,39.909996032714844
205,20600,-23.032073974609375,0.14528948,39.8441276550293
206,20700,-23.962879180908203,0.13646388,39.70119857788086
207,20800,-23.272916793823242,0.14219362,39.7655029296875
208,20900,-22.023597717285156,0.1416369,40.24266052246094
209,21000,-19.96363639831543,0.13990298,39.177825927734375
210,21100,-25.15977668762207,0.13885637,39.93354797363281
211,21200,-23.126176834106445,0.14139126,40.70000457763672
212,21300,-19.039228439331055,0.13827142,40.78211975097656
213,21400,-23.293380737304688,0.14254586,40.51264190673828
214,21500,-21.37700653076172,0.14069055,40.24058532714844
215,21600,-20.116186141967773,0.14145884,40.88970184326172
216,21700,-20.64353370666504,0.14023262,40.864933013916016
217,21800,-24.101839065551758,0.13866505,40.95393371582031
218,21900,-22.94426918029785,0.13628392,41.709930419921875
219,22000,-24.131568908691406,0.14155212,41.836585998535156
220,22100,-23.0794677734375,0.14021821,41.627296447753906
221,22200,-21.705547332763672,0.13897215,40.958885192871094
222,22300,-21.84731101989746,0.13696373,41.603519439697266
223,22400,-21.128503799438477,0.13519445,41.909847259521484
224,22500,-23.867101669311523,0.13407287,41.93400573730469
225,22600,-21.93769073486328,0.13692889,42.65593719482422
226,22700,-21.30541229248047,0.14062205,41.927181243896484
227,22800,-20.699220657348633,0.13703081,42.390663146972656
228,22900,-22.36534309387207,0.13690272,42.571983337402344
229,23000,-22.96280860900879,0.13535145,42.45071792602539
230,23100,-21.63448143005371,0.140837,42.037471771240234
231,23200,-19.69993019104004,0.13749248,43.2314453125
232,23300,-21.117048263549805,0.13659689,42.647464752197266
233,23400,-21.82209014892578,0.13427463,43.362361907958984
234,23500,-20.90592384338379,0.13870044,43.798004150390625
235,23600,-21.863731384277344,0.13657187,43.201759338378906
236,23700,-21.425477981567383,0.13328482,43.858489990234375
237,23800,-22.072933197021484,0.13829988,43.7535514831543
238,23900,-24.366113662719727,0.13850772,44.4449462890625
239,24000,-23.914981842041016,0.1368838,43.80177307128906
240,24100,-22.21855926513672,0.13660674,44.53034210205078
241,24200,-20.09528923034668,0.13475183,44.30961990356445
242,24300,-23.235591888427734,0.13430613,43.5855712890625
243,24400,-21.944122314453125,0.13460594,43.8632926940918
244,24500,-20.490840911865234,0.13713753,44.746559143066406
245,24600,-21.10972023010254,0.13657458,44.619163513183594
246,24700,-21.941984176635742,0.13397369,45.16136169433594
247,24800,-20.347461700439453,0.1331945,44.761653900146484
248,24900,-23.330995559692383,0.13410793,45.60136795043945
249,25000,-22.261899948120117,0.13146985,45.342620849609375
250,25100,-22.030052185058594,0.13235323,45.731876373291016
251,25200,-23.113582611083984,0.13039641,44.951900482177734
252,25300,-20.316120147705078,0.1332935,45.837318420410156
253,25400,-22.60874366760254,0.13120593,45.27158737182617
