,epoch,train,validation
0,50,-1.3827868700027466,-1.3883970975875854
1,100,-0.8656561374664307,-0.8862111568450928
2,150,-0.7371512651443481,-0.7587315440177917
3,200,-0.5547670125961304,-0.6075213551521301
4,250,-0.46903863549232483,-0.5268040895462036
5,300,-0.4701269567012787,-0.5142291784286499
6,350,-0.4851352274417877,-0.5436702966690063
7,400,-0.5025066137313843,-0.5685224533081055
8,450,-0.5138687491416931,-0.5822756886482239
9,500,-0.5577430725097656,-0.625652551651001
10,550,-0.5378066897392273,-0.6201398968696594
11,600,-0.523654580116272,-0.5960593223571777
12,650,-0.5264673233032227,-0.5930823683738708
13,700,-0.5245057940483093,-0.602674663066864
14,750,-0.5392186641693115,-0.6206395030021667
15,800,-0.4850514829158783,-0.5645135045051575
16,850,-0.47558534145355225,-0.559641420841217
17,900,-0.4990363121032715,-0.5707234144210815
18,950,-0.4866708517074585,-0.5641578435897827
19,1000,-0.4868870675563812,-0.5730974674224854
20,1050,-0.4798015356063843,-0.5563260316848755
21,1100,-0.4934823513031006,-0.5713282823562622
22,1150,-0.48746389150619507,-0.5521054267883301
23,1200,-0.4888436794281006,-0.5644162893295288
24,1250,-0.523255467414856,-0.5967367887496948
25,1300,-0.48600056767463684,-0.5582436323165894
26,1350,-0.4835207164287567,-0.5559936761856079
27,1400,-0.5343295335769653,-0.6056786775588989
28,1450,-0.496401846408844,-0.5638947486877441
29,1500,-0.47480058670043945,-0.5407307147979736
30,1550,-0.4784694015979767,-0.5399969220161438
31,1600,-0.47249895334243774,-0.538682758808136
32,1650,-0.47306618094444275,-0.542782723903656
33,1700,-0.48232680559158325,-0.556126058101654
34,1750,-0.5062823295593262,-0.5799108147621155
35,1800,-0.4988529682159424,-0.5764438509941101
36,1850,-0.497730016708374,-0.5726260542869568
37,1900,-0.5214717984199524,-0.5919184684753418
38,1950,-0.522647500038147,-0.5923514366149902
39,2000,-0.49530065059661865,-0.5751600861549377
40,2050,-0.5216004848480225,-0.6020964980125427
41,2100,-0.5050026774406433,-0.5844165682792664
42,2150,-0.5070099830627441,-0.5882313847541809
43,2200,-0.5044614672660828,-0.5843403935432434
44,2250,-0.4959277808666229,-0.5694434642791748
45,2300,-0.5138477087020874,-0.5839032530784607
46,2350,-0.5003272294998169,-0.5762774348258972
47,2400,-0.5269521474838257,-0.6007699966430664
48,2450,-0.5219359397888184,-0.5903759002685547
49,2500,-0.5461916923522949,-0.6198948621749878
50,2550,-0.5175568461418152,-0.5819714665412903
51,2600,-0.5029752850532532,-0.5735276341438293
52,2650,-0.5050666332244873,-0.5774062871932983
53,2700,-0.5181663036346436,-0.5780579447746277
54,2750,-0.5029775500297546,-0.564092218875885
55,2800,-0.5068422555923462,-0.5766938924789429
56,2850,-0.4977307617664337,-0.560858428478241
57,2900,-0.5239611864089966,-0.5928491950035095
58,2950,-0.5286822319030762,-0.5970107316970825
59,3000,-0.5527617335319519,-0.6214231252670288
60,3050,-0.4815552830696106,-0.558863639831543
61,3100,-0.506907045841217,-0.5817504525184631
62,3150,-0.5847790837287903,-0.6561069488525391
63,3200,-0.5007171034812927,-0.5682736039161682
64,3250,-0.4890388548374176,-0.554203987121582
65,3300,-0.4667612612247467,-0.5341923236846924
66,3350,-0.49927422404289246,-0.5715970993041992
67,3400,-0.4761289656162262,-0.5373890399932861
68,3450,-0.48799893260002136,-0.5545941591262817
69,3500,-0.5099402666091919,-0.5767247676849365
70,3550,-0.5040016770362854,-0.5684983730316162
71,3600,-0.49174055457115173,-0.5574334859848022
72,3650,-0.48898980021476746,-0.5464305877685547
73,3700,-0.5412805676460266,-0.6034809350967407
74,3750,-0.472930908203125,-0.5304446220397949
75,3800,-0.5285977125167847,-0.5947070121765137
76,3850,-0.46757346391677856,-0.5213358402252197
77,3900,-0.4980875551700592,-0.5645718574523926
78,3950,-0.4830479323863983,-0.541979193687439
79,4000,-0.5196438431739807,-0.5894853472709656
