,epoch,train,validation
0,50,-0.8566356301307678,-0.8886455297470093
1,100,-0.777651846408844,-0.799977719783783
2,150,-0.7837780117988586,-0.8051454424858093
3,200,-0.6618502736091614,-0.6809417605400085
4,250,-0.6195857524871826,-0.655802845954895
5,300,-0.5726146101951599,-0.6070230603218079
6,350,-0.48223716020584106,-0.5184080004692078
7,400,-0.7080216407775879,-0.715438187122345
8,450,-0.4783865809440613,-0.5251433253288269
9,500,-0.4697585105895996,-0.5190492272377014
10,550,-0.8176883459091187,-0.8573126792907715
11,600,-0.9069983959197998,-0.9262381196022034
12,650,-1.1651917695999146,-1.1725581884384155
13,700,-0.7196282148361206,-0.7591654658317566
14,750,-2.3988187313079834,-2.4701199531555176
15,800,-2.235503673553467,-2.337007761001587
16,850,-0.7129934430122375,-0.7458009719848633
17,900,-0.6218584179878235,-0.673846960067749
18,950,-0.7380834221839905,-0.8088939189910889
19,1000,-0.6931439638137817,-0.762628436088562
20,1050,-0.6064256429672241,-0.6888437271118164
21,1100,-0.5863518714904785,-0.6633933186531067
22,1150,-1.3263466358184814,-1.3862121105194092
23,1200,-0.5122423768043518,-0.5495321750640869
24,1250,-0.5581157207489014,-0.6289238333702087
25,1300,-0.5791215896606445,-0.6296802759170532
26,1350,-0.5348901748657227,-0.6019623279571533
27,1400,-0.564162015914917,-0.6372427940368652
28,1450,-0.6998019218444824,-0.7553848624229431
29,1500,-2.9894049167633057,-3.0879294872283936
30,1550,-0.573561429977417,-0.6360898017883301
31,1600,-0.5922315120697021,-0.6326310634613037
32,1650,-0.6707983016967773,-0.7336204051971436
33,1700,-0.5789670944213867,-0.6146895289421082
34,1750,-0.5953952074050903,-0.6554558873176575
35,1800,-1.1247116327285767,-1.1720240116119385
36,1850,-1.3202323913574219,-1.375455379486084
37,1900,-1.945347785949707,-2.021705389022827
38,1950,-1.6251870393753052,-1.7027539014816284
39,2000,-0.6321004033088684,-0.6929792761802673
40,2050,-0.5816487073898315,-0.6528318524360657
41,2100,-0.5706994533538818,-0.6242226958274841
42,2150,-1.2902761697769165,-1.3441617488861084
43,2200,-0.7508314847946167,-0.7831721901893616
44,2250,-0.6411437392234802,-0.7121679782867432
45,2300,-0.6478748321533203,-0.7072154879570007
46,2350,-0.6504831910133362,-0.6920832395553589
47,2400,-4.996443748474121,-4.825449466705322
48,2450,-0.7891681790351868,-0.8444789052009583
49,2500,-1.0509521961212158,-1.0942679643630981
50,2550,-0.8743094205856323,-0.932442843914032
51,2600,-0.7948574423789978,-0.8287839293479919
52,2650,-0.6850298047065735,-0.7511743307113647
53,2700,-4.395852088928223,-4.432434558868408
54,2750,-1.5112159252166748,-1.4862102270126343
55,2800,-2947.962158203125,-2972.47119140625
56,2850,-23041.623046875,-23088.62109375
57,2900,-417936.25,-420876.40625
58,2950,-24857284.0,-24830342.0
59,3000,-943833344.0,-941211904.0
60,3050,-826759808.0,-827560832.0
61,3100,-677925568.0,-678548032.0
62,3150,-548817536.0,-551890112.0
63,3200,-453288256.0,-455216736.0
64,3250,-340290144.0,-337586304.0
65,3300,-272712736.0,-271701952.0
66,3350,-210642720.0,-210401264.0
67,3400,-152233008.0,-152212272.0
68,3450,-104586760.0,-105986336.0
69,3500,-74719136.0,-74367440.0
70,3550,-47579128.0,-47886688.0
71,3600,-28379748.0,-28445690.0
72,3650,-13483571.0,-13385075.0
73,3700,-4665548.5,-4687964.5
74,3750,-508010.625,-508543.25
75,3800,-8336.59375,-8353.740234375
76,3850,-1.6087595224380493,-1.6098949909210205
77,3900,-1.506050944328308,-1.5239500999450684
78,3950,-1.6262874603271484,-1.6726514101028442
79,4000,-1.6277179718017578,-1.6716632843017578
