,epoch,train,validation
0,50,-1.4324148893356323,-1.444848656654358
1,100,-1.433396816253662,-1.4473456144332886
2,150,-1.4353641271591187,-1.4537620544433594
3,200,-1.4405145645141602,-1.4539130926132202
4,250,-1.4397609233856201,-1.4596765041351318
5,300,-1.4404866695404053,-1.4573956727981567
6,350,-1.4417164325714111,-1.4593182802200317
7,400,-1.4401612281799316,-1.4607617855072021
8,450,-1.4414793252944946,-1.4622886180877686
9,500,-1.4402878284454346,-1.4594924449920654
10,550,-1.4375871419906616,-1.4573748111724854
11,600,-1.4337260723114014,-1.4535436630249023
12,650,-1.4287853240966797,-1.448276400566101
13,700,-1.4191919565200806,-1.4388636350631714
14,750,-1.4052525758743286,-1.426064372062683
15,800,-1.387561559677124,-1.4083222150802612
16,850,-1.3595412969589233,-1.3803186416625977
17,900,-1.3259538412094116,-1.3467878103256226
18,950,-1.281529188156128,-1.305169939994812
19,1000,-1.233540654182434,-1.2563117742538452
20,1050,-1.1831870079040527,-1.20299232006073
21,1100,-1.131831169128418,-1.1539196968078613
22,1150,-1.0765873193740845,-1.1010334491729736
23,1200,-1.0281330347061157,-1.0556530952453613
24,1250,-0.9934471249580383,-1.0202583074569702
25,1300,-0.9747905731201172,-0.999139666557312
26,1350,-0.9538127183914185,-0.9832977652549744
27,1400,-0.9414256811141968,-0.9711120128631592
28,1450,-0.937613308429718,-0.9676190614700317
29,1500,-0.9265382885932922,-0.9527108669281006
30,1550,-0.9209832549095154,-0.9489561915397644
31,1600,-0.9138153791427612,-0.9463137984275818
32,1650,-0.9050851464271545,-0.9349040985107422
33,1700,-0.9025843739509583,-0.9325055480003357
34,1750,-0.8951048254966736,-0.9272655248641968
35,1800,-0.8898523449897766,-0.9196715354919434
36,1850,-0.8837612867355347,-0.9145476818084717
37,1900,-0.8833083510398865,-0.9118710160255432
38,1950,-0.873837947845459,-0.9022865891456604
39,2000,-0.8740941286087036,-0.9038565754890442
40,2050,-0.8604680299758911,-0.8964042067527771
41,2100,-0.8563987612724304,-0.8909940719604492
42,2150,-0.851780116558075,-0.8855148553848267
43,2200,-0.8420407772064209,-0.8816708922386169
44,2250,-0.8394644856452942,-0.8732214570045471
45,2300,-0.8356025218963623,-0.8672587871551514
46,2350,-0.819351851940155,-0.8579263091087341
47,2400,-0.817120373249054,-0.8577335476875305
48,2450,-0.7984922528266907,-0.8424535393714905
49,2500,-0.7964653372764587,-0.8363559246063232
50,2550,-0.7903153300285339,-0.8310818672180176
51,2600,-0.781130850315094,-0.8190813064575195
52,2650,-0.7756453156471252,-0.8106727600097656
53,2700,-0.7587118148803711,-0.7955197691917419
54,2750,-0.7563801407814026,-0.7918132543563843
55,2800,-0.7473167181015015,-0.7837783098220825
56,2850,-0.7278318405151367,-0.7687391638755798
57,2900,-0.713893711566925,-0.7544451355934143
58,2950,-0.6921886205673218,-0.749412477016449
59,3000,-0.6924823522567749,-0.7520330548286438
60,3050,-0.6793144941329956,-0.7163349390029907
61,3100,-0.6658281683921814,-0.7127357125282288
62,3150,-0.658445417881012,-0.7037119269371033
63,3200,-0.6263821125030518,-0.6796227693557739
64,3250,-0.6193031668663025,-0.6662256121635437
65,3300,-0.6143460273742676,-0.6469609141349792
66,3350,-0.5943994522094727,-0.6233552098274231
67,3400,-0.5620030164718628,-0.6180610060691833
68,3450,-0.5583717226982117,-0.6013902425765991
69,3500,-0.5345328450202942,-0.5848034024238586
70,3550,-0.523381769657135,-0.5592251420021057
71,3600,-0.49168792366981506,-0.5422251224517822
72,3650,-0.47930288314819336,-0.5206291079521179
73,3700,-0.4516688883304596,-0.4829752445220947
74,3750,-0.4282374680042267,-0.4740719795227051
75,3800,-0.4135541319847107,-0.4637848734855652
76,3850,-0.4096086919307709,-0.4522183835506439
77,3900,-0.3798653781414032,-0.425631582736969
78,3950,-0.34999793767929077,-0.398824542760849
79,4000,-0.34035035967826843,-0.4030151069164276
80,4050,-0.319845974445343,-0.38034865260124207
81,4100,-0.32159408926963806,-0.36653846502304077
82,4150,-0.3077756464481354,-0.3533932566642761
83,4200,-0.30767300724983215,-0.3556256592273712
84,4250,-0.29413753747940063,-0.304578959941864
85,4300,-0.3288502097129822,-0.340035617351532
86,4350,-0.27159085869789124,-0.3278284966945648
87,4400,-0.2919062077999115,-0.32392197847366333
88,4450,-0.28345760703086853,-0.297560453414917
89,4500,-0.28179046511650085,-0.29683879017829895
90,4550,-0.25757896900177,-0.3028441369533539
91,4600,-0.2734531760215759,-0.28634941577911377
92,4650,-0.2613469660282135,-0.2896387279033661
93,4700,-0.2361738383769989,-0.2840748131275177
94,4750,-0.274381548166275,-0.28498128056526184
95,4800,-0.2299114167690277,-0.2563800811767578
96,4850,-0.24767886102199554,-0.2655092477798462
97,4900,-0.2127729207277298,-0.253330796957016
98,4950,-0.236062154173851,-0.26418501138687134
99,5000,-0.223913311958313,-0.267972469329834
100,5050,-0.22354072332382202,-0.23581857979297638
101,5100,-0.23490476608276367,-0.24094580113887787
102,5150,-0.24191151559352875,-0.20569394528865814
103,5200,-0.21673814952373505,-0.24287568032741547
104,5250,-0.19790118932724,-0.21283376216888428
105,5300,-0.20049896836280823,-0.22695975005626678
106,5350,-0.16646188497543335,-0.17156670987606049
107,5400,-0.21558339893817902,-0.19326530396938324
108,5450,-0.2187025099992752,-0.2464030385017395
109,5500,-0.18553079664707184,-0.1888805627822876
110,5550,-0.15531735122203827,-0.18541114032268524
111,5600,-0.19390764832496643,-0.1842174530029297
112,5650,-0.17235977947711945,-0.17667686939239502
113,5700,-0.1589270681142807,-0.1612248420715332
114,5750,-0.1642180234193802,-0.18840239942073822
115,5800,-0.17505989968776703,-0.22346478700637817
116,5850,-0.14666584134101868,-0.1683664172887802
117,5900,-0.1604689657688141,-0.1670403927564621
118,5950,-0.16209149360656738,-0.16725139319896698
119,6000,-0.1300630271434784,-0.14861886203289032
120,6050,-0.14776712656021118,-0.1609400510787964
121,6100,-0.17563846707344055,-0.18061605095863342
122,6150,-0.09979549050331116,-0.14818412065505981
123,6200,-0.16309979557991028,-0.14498735964298248
124,6250,-0.14010411500930786,-0.14930877089500427
125,6300,-0.1220817044377327,-0.1684868186712265
126,6350,-0.18909482657909393,-0.12838171422481537
127,6400,-0.11552762240171432,-0.1430695503950119
128,6450,-0.12642790377140045,-0.13700777292251587
129,6500,-0.10880186408758163,-0.1479807198047638
130,6550,-0.11973636597394943,-0.10867109149694443
131,6600,-0.12068065255880356,-0.11317986994981766
132,6650,-0.15604963898658752,-0.13448801636695862
133,6700,-0.12675286829471588,-0.15595576167106628
134,6750,-0.12023266404867172,-0.1240597739815712
135,6800,-0.12917907536029816,-0.11807122826576233
136,6850,-0.08672185242176056,-0.0692049041390419
137,6900,-0.0915999487042427,-0.10818012803792953
138,6950,-0.07666610181331635,-0.09811323136091232
139,7000,-0.09627559781074524,-0.10786844789981842
140,7050,-0.08662973344326019,-0.08666935563087463
141,7100,-0.07693711668252945,-0.10040846467018127
142,7150,-0.11070715636014938,-0.11104516685009003
143,7200,-0.09556282311677933,-0.08048366010189056
144,7250,-0.07949420064687729,-0.06690250337123871
145,7300,-0.06541147828102112,-0.07753284275531769
146,7350,-0.06485746800899506,-0.0735466405749321
147,7400,-0.0851532518863678,-0.0526658296585083
148,7450,-0.10555362701416016,-0.08647232502698898
149,7500,-0.08900271356105804,-0.04820329695940018
150,7550,-0.08116172254085541,-0.08112750202417374
151,7600,-0.10098954290151596,-0.07567892223596573
152,7650,-0.03639477491378784,-0.0348106287419796
153,7700,-0.0659257173538208,-0.07045850157737732
154,7750,-0.0766708105802536,-0.034624140709638596
155,7800,-0.11788230389356613,-0.06337974220514297
156,7850,-0.06901528686285019,-0.03437413275241852
