,epoch,discriminator,wasserstein distance,generator
0,50,0.03783073276281357,7.1663814,-0.0477600134909153
1,100,0.006997857242822647,6.981352,-0.05696381255984306
2,150,-0.04217442125082016,6.791707,-0.04458867385983467
3,200,-0.07613072544336319,6.7145534,-0.005957369692623615
4,250,-0.19178935885429382,6.6185513,0.08497101813554764
5,300,-0.32069921493530273,6.6511664,0.1990368813276291
6,350,-0.6080841422080994,6.619137,0.4163491725921631
7,400,-0.8181993365287781,6.575404,0.6307477355003357
8,450,-1.0584352016448975,6.498913,1.0446258783340454
9,500,-1.5301681756973267,6.426565,1.4618874788284302
10,550,-1.3956856727600098,6.381563,2.3103384971618652
11,600,-2.1553659439086914,6.378726,2.8926444053649902
12,650,-2.6701066493988037,6.2877917,3.4814348220825195
13,700,-2.8957808017730713,6.1912565,4.2604265213012695
14,750,-2.915360450744629,6.064872,5.279120445251465
15,800,-3.0508477687835693,5.99316,6.304428577423096
16,850,-3.157472610473633,5.9023924,7.694350719451904
17,900,-3.3219282627105713,5.846051,8.93762493133545
18,950,-2.9868903160095215,5.629473,9.457507133483887
19,1000,-3.738325834274292,5.563217,10.519994735717773
20,1050,-3.407020330429077,5.513399,11.515887260437012
21,1100,-4.06578254699707,5.487828,13.033084869384766
22,1150,-3.4746243953704834,5.439804,13.324053764343262
23,1200,-4.384920120239258,5.383162,14.569382667541504
24,1250,-3.5443203449249268,5.326139,16.30161476135254
25,1300,-3.5600478649139404,5.1794105,17.268951416015625
26,1350,-2.3060638904571533,5.0412836,18.674468994140625
27,1400,-4.442561149597168,4.964051,18.56401824951172
28,1450,-4.393326759338379,4.828447,19.152507781982422
29,1500,-3.907578706741333,4.7870173,20.879310607910156
30,1550,-4.521035194396973,4.6744843,22.581064224243164
31,1600,-3.6767332553863525,4.664966,23.751245498657227
32,1650,-4.2837042808532715,4.5790825,24.558271408081055
33,1700,-3.817974328994751,4.52969,25.18191146850586
34,1750,-5.2470197677612305,4.471729,28.02210235595703
35,1800,-4.745774269104004,4.394602,28.623258590698242
36,1850,-4.515078544616699,4.3262806,28.008100509643555
37,1900,-4.656716346740723,4.1467767,29.555620193481445
