epoch,cgan,klcgan,pearson,rklcgan,epoch,wcgan
20,-1.22604310512543,-1.41456854343414,-1.58133208751678,-1.3138120174408,20,-1.48606932163239
40,-1.03770792484283,-1.24367833137512,-1.36523246765137,-1.04372811317444,40,-1.47352945804596
60,-1.02807605266571,-1.014031291008,-1.08726871013641,-1.01376378536224,60,-1.46099615097046
80,-0.950907528400421,-0.976103246212006,-1.03021788597107,-0.98777961730957,80,-1.44732654094696
100,-0.955905139446259,-0.93584930896759,-0.957796394824982,-0.992858827114105,100,-1.43167507648468
120,-0.85179591178894,-0.945382475852966,-0.951823651790619,-0.990166366100311,120,-1.41009342670441
140,-0.867909371852875,-0.914118349552155,-0.915315806865692,-0.907303392887116,140,-1.39344871044159
160,-0.941543281078339,-0.920810878276825,-0.892209947109222,-0.868899762630463,160,-1.38428056240082
180,-0.8592449426651,-0.926791846752167,-0.891216397285461,-0.882822513580322,180,-1.38406348228455
200,-0.877047181129456,-0.886387050151825,-0.853310525417328,-0.871431469917297,200,-1.37866997718811
220,-0.885339736938477,-0.857671856880188,-0.844063401222229,-0.880976796150208,220,-1.36014544963837
240,-0.838342547416687,-0.887274563312531,-0.837512373924255,-0.836103677749634,240,-1.34344244003296
260,-0.761980295181274,-0.844567954540253,-0.844914078712463,-0.867606997489929,260,-1.32909107208252
280,-0.787817358970642,-0.897984385490418,-0.847592294216156,-0.888620853424072,280,-1.31340038776398
300,-0.805751621723175,-0.835001647472382,-0.840187191963196,-0.844833016395569,300,-1.29853475093842
320,-0.786017715930939,-0.892829418182373,-0.804487466812134,-0.841487228870392,320,-1.28413343429565
340,-0.834729492664337,-0.874950349330902,-0.824539065361023,-0.902965903282166,340,-1.26778388023376
360,-0.854227125644684,-0.837884366512299,-0.818905174732208,-0.833050608634949,360,-1.27408075332642
380,-0.837841808795929,-0.860546171665192,-0.819789469242096,-0.842233896255493,380,-1.2682523727417
400,-0.812519967556,-0.846122562885284,-0.814115047454834,-0.835358083248138,400,-1.25414156913757
420,-0.801658868789673,-0.828401207923889,-0.785151302814484,-0.856084942817688,420,-1.25483727455139
440,-0.856199204921722,-0.887563645839691,-0.823823809623718,-0.825334966182709,440,-1.25802445411682
460,-0.845631539821625,-0.808677554130554,-0.831057548522949,-0.833292901515961,460,-1.24485552310944
480,-0.846653699874878,-0.849456071853638,-0.787829995155335,-0.808466732501984,480,-1.23796319961548
500,-0.821593940258026,-0.841509461402893,-0.82393741607666,-0.805715262889862,500,-1.22921538352966
520,-0.84635454416275,-0.836896300315857,-0.773582279682159,-0.819018721580505,520,-1.21520447731018
540,-0.835696041584015,-0.841588377952576,-0.792814433574677,-0.834454417228699,540,-1.22747182846069
560,-0.820445120334625,-0.811755180358887,-0.822218596935272,-0.854180335998535,560,-1.21299040317535
580,-0.830913603305817,-0.783754408359528,-0.861745595932007,-0.840737819671631,580,-1.20588147640228
600,-0.86704295873642,-0.840143740177155,-0.804283440113068,-0.808682560920715,600,-1.20658695697784
620,-0.850429713726044,-0.819145321846008,-0.813339293003082,-0.800904631614685,620,-1.19940793514252
640,-0.854221284389496,-0.810995697975159,-0.783217430114746,-0.829197108745575,640,-1.17479455471039
660,-0.87838214635849,-0.834108531475067,-0.827168464660645,-0.799120604991913,660,-1.16935563087463
680,-0.844572901725769,-0.836967587471008,-0.754945814609528,-0.804430663585663,680,-1.17436039447784
700,-0.879871666431427,-0.817357420921326,-0.859377861022949,-0.82682329416275,700,-1.15521800518036
720,-0.767208337783814,-0.820652842521668,-0.852611660957336,-0.771986246109009,720,-1.14819276332855
740,-0.840900242328644,-0.764443218708038,-0.838139474391937,-0.82695347070694,740,-1.13676583766937
760,-0.822438955307007,-0.806166231632233,-0.819655776023865,-0.815631330013275,760,-1.11935877799988
780,-0.813366234302521,-0.796034097671509,-0.786777436733246,-0.841022431850433,780,-1.11336636543274
800,-0.847921550273895,-0.839557349681854,-0.736867189407349,-0.815961897373199,800,-1.11101186275482
820,-0.842017412185669,-0.860884010791779,-0.793456733226776,-0.850087821483612,820,-1.10628855228424
840,-0.79291957616806,-0.839585602283478,-0.784611165523529,-0.848670899868012,840,-1.08574092388153
860,-0.834516763687134,-0.820588111877441,-0.805175304412842,-0.799145817756653,860,-1.09566807746887
880,-0.868980288505554,-0.857414066791534,-0.819961428642273,-0.832454681396484,880,-1.05022740364075
900,-0.81254255771637,-0.839363694190979,-0.836082518100739,-0.806437969207764,900,-1.03296530246735
920,-0.81685221195221,-0.858427405357361,-0.818534970283508,-0.856620013713837,920,-1.04182171821594
940,-0.783925592899323,-0.790800511837006,-0.838360011577606,-0.808537244796753,940,-1.017693400383
960,-0.825173497200012,-0.828249275684357,-0.753759264945984,-0.8253533244133,960,-0.997972071170807
980,-0.834442973136902,-0.800558924674988,-0.79108738899231,-0.809029161930084,980,-0.966994762420654
1000,-0.802143573760986,-0.83824747800827,-0.823506355285645,-0.821965515613556,1000,-0.974004209041595
,,,,,1020,-0.96631121635437
,,,,,1040,-0.943676292896271
,,,,,1060,-0.935282051563263
,,,,,1080,-0.891112983226776
,,,,,1100,-0.902347564697266
,,,,,1120,-0.874608337879181
,,,,,1140,-0.884832382202148
,,,,,1160,-0.887110829353333
,,,,,1180,-0.858405947685242
,,,,,1200,-0.857169210910797
,,,,,1220,-0.862502992153168
,,,,,1240,-0.843379855155945
,,,,,1260,-0.855847895145416
,,,,,1280,-0.845659613609314
,,,,,1300,-0.863251388072968
,,,,,1320,-0.84835821390152
,,,,,1340,-0.833647608757019
,,,,,1360,-0.801943778991699
,,,,,1380,-0.808828592300415
,,,,,1400,-0.778838038444519
,,,,,1420,-0.811851322650909
,,,,,1440,-0.818865716457367
,,,,,1460,-0.802470147609711
,,,,,1480,-0.776139676570892
,,,,,1500,-0.79011881351471
,,,,,1520,-0.81366753578186
,,,,,1540,-0.811889827251434
,,,,,1560,-0.82624739408493
,,,,,1580,-0.794698417186737
,,,,,1600,-0.792341887950897
,,,,,1620,-0.794923007488251
,,,,,1640,-0.785126328468323
,,,,,1660,-0.830202162265778
,,,,,1680,-0.827571630477905
,,,,,1700,-0.814474880695343
,,,,,1720,-0.78098863363266
,,,,,1740,-0.781693935394287
,,,,,1760,-0.816393375396729
,,,,,1780,-0.779525578022003
,,,,,1800,-0.796259582042694
,,,,,1820,-0.77628481388092
,,,,,1840,-0.810835778713226
,,,,,1860,-0.786228179931641
,,,,,1880,-0.783191978931427
,,,,,1900,-0.788790345191956
,,,,,1920,-0.796049475669861
,,,,,1940,-0.770172953605652
,,,,,1960,-0.785261631011963
,,,,,1980,-0.757532119750977
