,epoch,train,validation
0,20,-1.1794586181640625,-1.2260431051254272
1,40,-1.0350940227508545,-1.0377079248428345
2,60,-0.9396209120750427,-1.0280760526657104
3,80,-0.8799203038215637,-0.9509075284004211
4,100,-0.8774699568748474,-0.9559051394462585
5,120,-0.741911768913269,-0.8517959117889404
6,140,-0.8071132898330688,-0.8679093718528748
7,160,-0.9129909873008728,-0.9415432810783386
8,180,-0.7998688220977783,-0.8592449426651001
9,200,-0.8285163044929504,-0.8770471811294556
10,220,-0.868890643119812,-0.8853397369384766
11,240,-0.8007230758666992,-0.838342547416687
12,260,-0.7414135932922363,-0.7619802951812744
13,280,-0.81792813539505,-0.7878173589706421
14,300,-0.7159917950630188,-0.805751621723175
15,320,-0.7152786254882812,-0.7860177159309387
16,340,-0.760241687297821,-0.8347294926643372
17,360,-0.7555232644081116,-0.8542271256446838
18,380,-0.8313106894493103,-0.837841808795929
19,400,-0.7484340071678162,-0.8125199675559998
20,420,-0.7517649531364441,-0.8016588687896729
21,440,-0.7528810501098633,-0.8561992049217224
22,460,-0.7229799628257751,-0.8456315398216248
23,480,-0.7717071771621704,-0.8466536998748779
24,500,-0.7375146746635437,-0.8215939402580261
25,520,-0.7573277950286865,-0.8463545441627502
26,540,-0.7434471249580383,-0.8356960415840149
27,560,-0.7409923672676086,-0.8204451203346252
28,580,-0.773878276348114,-0.8309136033058167
29,600,-0.7737607359886169,-0.8670429587364197
30,620,-0.7635242342948914,-0.8504297137260437
31,640,-0.7548714876174927,-0.8542212843894958
32,660,-0.7776329517364502,-0.87838214635849
33,680,-0.7553898096084595,-0.844572901725769
34,700,-0.7508105635643005,-0.879871666431427
35,720,-0.7117106318473816,-0.7672083377838135
36,740,-0.7887926697731018,-0.8409002423286438
37,760,-0.7370601296424866,-0.8224389553070068
38,780,-0.7667667865753174,-0.8133662343025208
39,800,-0.7551261186599731,-0.8479215502738953
40,820,-0.7503690719604492,-0.842017412185669
41,840,-0.7142964601516724,-0.7929195761680603
42,860,-0.7621279954910278,-0.8345167636871338
43,880,-0.7611939311027527,-0.8689802885055542
44,900,-0.7410818934440613,-0.8125425577163696
45,920,-0.7065629959106445,-0.8168522119522095
46,940,-0.7540948987007141,-0.7839255928993225
47,960,-0.7656523585319519,-0.8251734972000122
48,980,-0.713148295879364,-0.8344429731369019
49,1000,-0.7076647281646729,-0.8021435737609863
