,epoch,train,validation
0,20,-1.3503881692886353,-1.414568543434143
1,40,-1.1870797872543335,-1.243678331375122
2,60,-0.9829087853431702,-1.0140312910079956
3,80,-0.9318936467170715,-0.9761032462120056
4,100,-0.9112210273742676,-0.9358493089675903
5,120,-0.8789488673210144,-0.9453824758529663
6,140,-0.8336256742477417,-0.9141183495521545
7,160,-0.8301563858985901,-0.920810878276825
8,180,-0.9073998928070068,-0.9267918467521667
9,200,-0.8874309062957764,-0.886387050151825
10,220,-0.8001639246940613,-0.857671856880188
11,240,-0.8443220853805542,-0.8872745633125305
12,260,-0.7908169031143188,-0.8445679545402527
13,280,-0.8460448980331421,-0.8979843854904175
14,300,-0.8320690393447876,-0.8350016474723816
15,320,-0.851464033126831,-0.892829418182373
16,340,-0.8482621312141418,-0.8749503493309021
17,360,-0.7810523509979248,-0.8378843665122986
18,380,-0.8107789754867554,-0.8605461716651917
19,400,-0.7501274943351746,-0.8461225628852844
20,420,-0.7716658711433411,-0.8284012079238892
21,440,-0.7942991256713867,-0.8875636458396912
22,460,-0.7509369850158691,-0.8086775541305542
23,480,-0.8119239807128906,-0.8494560718536377
24,500,-0.7735419869422913,-0.8415094614028931
25,520,-0.775060772895813,-0.8368963003158569
26,540,-0.7531939148902893,-0.8415883779525757
27,560,-0.7607033848762512,-0.8117551803588867
28,580,-0.7891817092895508,-0.7837544083595276
29,600,-0.8268535733222961,-0.8401437401771545
30,620,-0.724626362323761,-0.8191453218460083
31,640,-0.7063621282577515,-0.8109956979751587
32,660,-0.7462908625602722,-0.8341085314750671
33,680,-0.7410911321640015,-0.8369675874710083
34,700,-0.74286288022995,-0.8173574209213257
35,720,-0.7490646839141846,-0.8206528425216675
36,740,-0.7298795580863953,-0.7644432187080383
37,760,-0.7328464984893799,-0.8061662316322327
38,780,-0.7618567943572998,-0.7960340976715088
39,800,-0.7452276945114136,-0.8395573496818542
40,820,-0.7867050170898438,-0.8608840107917786
41,840,-0.7772353291511536,-0.8395856022834778
42,860,-0.7468950152397156,-0.8205881118774414
43,880,-0.7193100452423096,-0.8574140667915344
44,900,-0.7308187484741211,-0.839363694190979
45,920,-0.7475109696388245,-0.8584274053573608
46,940,-0.7325944900512695,-0.7908005118370056
47,960,-0.740358829498291,-0.8282492756843567
48,980,-0.7220284938812256,-0.8005589246749878
49,1000,-0.7426996827125549,-0.8382474780082703
