,epoch,train,validation
0,20,-1.5392987728118896,-1.5813320875167847
1,40,-1.3332277536392212,-1.3652324676513672
2,60,-1.079600214958191,-1.0872687101364136
3,80,-1.016886830329895,-1.0302178859710693
4,100,-0.9314849376678467,-0.9577963948249817
5,120,-0.8665992021560669,-0.9518236517906189
6,140,-0.8420231342315674,-0.9153158068656921
7,160,-0.8994131088256836,-0.8922099471092224
8,180,-0.8477901816368103,-0.8912163972854614
9,200,-0.8500815629959106,-0.8533105254173279
10,220,-0.8169903755187988,-0.844063401222229
11,240,-0.8030887246131897,-0.8375123739242554
12,260,-0.7947143316268921,-0.8449140787124634
13,280,-0.7674074172973633,-0.847592294216156
14,300,-0.7652483582496643,-0.8401871919631958
15,320,-0.779604434967041,-0.8044874668121338
16,340,-0.7651060223579407,-0.824539065361023
17,360,-0.7462095022201538,-0.8189051747322083
18,380,-0.7876515984535217,-0.819789469242096
19,400,-0.8246792554855347,-0.814115047454834
20,420,-0.7816442847251892,-0.7851513028144836
21,440,-0.8225790858268738,-0.8238238096237183
22,460,-0.7838115096092224,-0.8310575485229492
23,480,-0.7377215027809143,-0.7878299951553345
24,500,-0.7401601672172546,-0.8239374160766602
25,520,-0.7512879371643066,-0.7735822796821594
26,540,-0.7349133491516113,-0.7928144335746765
27,560,-0.7393258213996887,-0.8222185969352722
28,580,-0.7907262444496155,-0.8617455959320068
29,600,-0.7646166086196899,-0.8042834401130676
30,620,-0.7567353248596191,-0.8133392930030823
31,640,-0.7387071847915649,-0.7832174301147461
32,660,-0.7595217823982239,-0.8271684646606445
33,680,-0.7563173770904541,-0.7549458146095276
34,700,-0.7570451498031616,-0.8593778610229492
35,720,-0.7815371155738831,-0.8526116609573364
36,740,-0.7723643183708191,-0.8381394743919373
37,760,-0.7294250726699829,-0.8196557760238647
38,780,-0.7546628713607788,-0.7867774367332458
39,800,-0.7353297472000122,-0.7368671894073486
40,820,-0.740751326084137,-0.7934567332267761
41,840,-0.7351707220077515,-0.784611165523529
42,860,-0.7207393646240234,-0.8051753044128418
43,880,-0.7348514199256897,-0.819961428642273
44,900,-0.7322525978088379,-0.8360825181007385
45,920,-0.7368001937866211,-0.8185349702835083
46,940,-0.7360897660255432,-0.8383600115776062
47,960,-0.7403410077095032,-0.7537592649459839
48,980,-0.7212140560150146,-0.7910873889923096
49,1000,-0.7526476383209229,-0.8235063552856445
