,epoch,train,validation
0,20,-1.2574148178100586,-1.313812017440796
1,40,-1.0129295587539673,-1.0437281131744385
2,60,-1.0032978057861328,-1.0137637853622437
3,80,-0.9841580390930176,-0.9877796173095703
4,100,-0.9569363594055176,-0.9928588271141052
5,120,-0.9167770147323608,-0.9901663661003113
6,140,-0.8966315388679504,-0.9073033928871155
7,160,-0.8518758416175842,-0.8688997626304626
8,180,-0.8469778895378113,-0.8828225135803223
9,200,-0.8642328977584839,-0.8714314699172974
10,220,-0.8145827651023865,-0.8809767961502075
11,240,-0.8164487481117249,-0.8361036777496338
12,260,-0.7881048321723938,-0.8676069974899292
13,280,-0.8032811880111694,-0.8886208534240723
14,300,-0.7648685574531555,-0.8448330163955688
15,320,-0.7895948886871338,-0.8414872288703918
16,340,-0.7956433892250061,-0.9029659032821655
17,360,-0.7913018465042114,-0.8330506086349487
18,380,-0.783696711063385,-0.8422338962554932
19,400,-0.7679006457328796,-0.8353580832481384
20,420,-0.7425325512886047,-0.856084942817688
21,440,-0.7860373258590698,-0.8253349661827087
22,460,-0.7598269581794739,-0.8332929015159607
23,480,-0.7440049052238464,-0.8084667325019836
24,500,-0.7637439966201782,-0.8057152628898621
25,520,-0.7639943957328796,-0.8190187215805054
26,540,-0.7811659574508667,-0.8344544172286987
27,560,-0.7329564094543457,-0.8541803359985352
28,580,-0.7230903506278992,-0.8407378196716309
29,600,-0.7498930096626282,-0.8086825609207153
30,620,-0.7335883975028992,-0.8009046316146851
31,640,-0.7562999129295349,-0.829197108745575
32,660,-0.739250659942627,-0.7991206049919128
33,680,-0.747312068939209,-0.8044306635856628
34,700,-0.7682649493217468,-0.8268232941627502
35,720,-0.7338705062866211,-0.7719862461090088
36,740,-0.7652888894081116,-0.8269534707069397
37,760,-0.7592543363571167,-0.8156313300132751
38,780,-0.7566706538200378,-0.8410224318504333
39,800,-0.7498155236244202,-0.8159618973731995
40,820,-0.7219913601875305,-0.8500878214836121
41,840,-0.7577810287475586,-0.8486708998680115
42,860,-0.7439588308334351,-0.7991458177566528
43,880,-0.7247320413589478,-0.8324546813964844
44,900,-0.7593033313751221,-0.8064379692077637
45,920,-0.7687342762947083,-0.8566200137138367
46,940,-0.7027706503868103,-0.8085372447967529
47,960,-0.7474676966667175,-0.8253533244132996
48,980,-0.735694169998169,-0.8090291619300842
49,1000,-0.7596662640571594,-0.8219655156135559
