,epoch,train,validation
0,20,-1.173189640045166,-1.1933730840682983
1,40,-1.0918400287628174,-1.1116482019424438
2,60,-1.053690791130066,-1.0841161012649536
3,80,-1.0337207317352295,-1.0794808864593506
4,100,-0.9894983172416687,-1.033143401145935
5,120,-0.939096987247467,-0.9826700091362
6,140,-0.9279068112373352,-0.9656690955162048
7,160,-0.8702024221420288,-0.9108334183692932
8,180,-0.8629920482635498,-0.9063228964805603
9,200,-0.8754559755325317,-0.9094464778900146
10,220,-0.8273820281028748,-0.8676194548606873
11,240,-0.8195875883102417,-0.8645230531692505
12,260,-0.7876254916191101,-0.8392770886421204
13,280,-0.7934228777885437,-0.8250800967216492
14,300,-0.7688499093055725,-0.8052206039428711
15,320,-0.7682859897613525,-0.8029786944389343
16,340,-0.7735782861709595,-0.7909082174301147
17,360,-0.7479938268661499,-0.7795044183731079
18,380,-0.7445749640464783,-0.7801602482795715
19,400,-0.7498712539672852,-0.7865700721740723
20,420,-0.7512262463569641,-0.7866533398628235
21,440,-0.7391976118087769,-0.7842395305633545
22,460,-0.7477118968963623,-0.7861217260360718
23,480,-0.7474861741065979,-0.7759138941764832
24,500,-0.7535030245780945,-0.7908860445022583
25,520,-0.7866926789283752,-0.8183085322380066
26,540,-0.7324205636978149,-0.7684242129325867
27,560,-0.7447210550308228,-0.7809711694717407
28,580,-0.7525250911712646,-0.778457522392273
29,600,-0.739597499370575,-0.7874094843864441
30,620,-0.7460184097290039,-0.7895946502685547
31,640,-0.7401561141014099,-0.7889842391014099
32,660,-0.7489250302314758,-0.7904841303825378
33,680,-0.7450312376022339,-0.7928034067153931
34,700,-0.7515490055084229,-0.7753973603248596
35,720,-0.7424604296684265,-0.7974541783332825
36,740,-0.7393423914909363,-0.7853308916091919
37,760,-0.7372307181358337,-0.7884207367897034
38,780,-0.7344443202018738,-0.7868930697441101
39,800,-0.7427947521209717,-0.7879308462142944
40,820,-0.7427701950073242,-0.7829756140708923
41,840,-0.7579126954078674,-0.807988703250885
42,860,-0.7404357194900513,-0.775554358959198
43,880,-0.7364736199378967,-0.7874045968055725
44,900,-0.7363976240158081,-0.7830376029014587
45,920,-0.7444379329681396,-0.7958390116691589
46,940,-0.7576928734779358,-0.8122640252113342
47,960,-0.8179336190223694,-0.8589887619018555
48,980,-0.7449692487716675,-0.7915429472923279
49,1000,-0.7636105418205261,-0.8089848756790161
50,1020,-0.8324283957481384,-0.8782224655151367
51,1040,-0.75148606300354,-0.7886397242546082
52,1060,-0.801454484462738,-0.837256669998169
53,1080,-0.7469239830970764,-0.7998418211936951
54,1100,-0.7395371198654175,-0.7979986071586609
55,1120,-0.7471532225608826,-0.8015312552452087
56,1140,-0.7490950226783752,-0.7955371737480164
57,1160,-0.7409301996231079,-0.7902345657348633
58,1180,-0.7686779499053955,-0.8035338521003723
59,1200,-0.743663489818573,-0.7962756156921387
60,1220,-0.733694851398468,-0.7838508486747742
61,1240,-0.7378132939338684,-0.7843828797340393
62,1260,-0.7703737616539001,-0.8194478154182434
63,1280,-0.7993101477622986,-0.8414170145988464
64,1300,-0.7417436242103577,-0.7891324162483215
65,1320,-0.7354013919830322,-0.7898213863372803
66,1340,-0.7523864507675171,-0.8016653656959534
67,1360,-0.7648667097091675,-0.8076196312904358
68,1380,-0.7488917708396912,-0.7837186455726624
69,1400,-0.7777072191238403,-0.8304634690284729
70,1420,-0.7513494491577148,-0.8132331371307373
71,1440,-0.7564527988433838,-0.7955779433250427
72,1460,-0.7558978796005249,-0.8101217150688171
73,1480,-0.7790961265563965,-0.818675696849823
74,1500,-0.754120945930481,-0.8020893335342407
75,1520,-0.7423674464225769,-0.7994359731674194
76,1540,-0.7536006569862366,-0.790690004825592
77,1560,-0.7764413356781006,-0.8161596059799194
78,1580,-0.7646254301071167,-0.8044801354408264
79,1600,-0.7650355696678162,-0.8130568861961365
80,1620,-0.7676364183425903,-0.8155158758163452
81,1640,-0.763128399848938,-0.8100023865699768
82,1660,-0.7579159140586853,-0.8049652576446533
83,1680,-0.7766764163970947,-0.8002275228500366
84,1700,-0.7628841400146484,-0.8028711080551147
85,1720,-0.7763782739639282,-0.811983585357666
86,1740,-0.7686858177185059,-0.811110258102417
87,1760,-0.7728795409202576,-0.815014660358429
88,1780,-0.7741186618804932,-0.8235253095626831
89,1800,-0.7947430610656738,-0.8445162177085876
90,1820,-0.7846724987030029,-0.8356857299804688
91,1840,-0.7882897257804871,-0.8247244358062744
92,1860,-0.7676748037338257,-0.8318047523498535
93,1880,-0.8259958624839783,-0.8774523138999939
94,1900,-0.7781155705451965,-0.8128611445426941
95,1920,-0.7758918404579163,-0.8142874240875244
96,1940,-0.787287175655365,-0.8360564708709717
97,1960,-0.7719221711158752,-0.8282914757728577
98,1980,-0.7844977378845215,-0.8219537734985352
99,2000,-0.7810248732566833,-0.8405040502548218
