,epoch,train,validation
0,20,-1.101154088973999,-1.120023488998413
1,40,-1.0746487379074097,-1.0941582918167114
2,60,-1.0166208744049072,-1.049898386001587
3,80,-1.0027107000350952,-1.049338698387146
4,100,-0.9240597486495972,-0.9636173248291016
5,120,-0.8828611373901367,-0.9256883263587952
6,140,-0.8872427344322205,-0.9191170334815979
7,160,-0.860482931137085,-0.8888086080551147
8,180,-0.8451417088508606,-0.8728029131889343
9,200,-0.8283969163894653,-0.8654791116714478
10,220,-0.815244197845459,-0.8420079946517944
11,240,-0.7929508686065674,-0.8254334330558777
12,260,-0.8027068972587585,-0.829708993434906
13,280,-0.7829596400260925,-0.8105415105819702
14,300,-0.766403317451477,-0.7952314615249634
15,320,-0.7622121572494507,-0.7853763103485107
16,340,-0.7567740678787231,-0.7924741506576538
17,360,-0.7558383941650391,-0.7984055876731873
18,380,-0.7619041204452515,-0.7906874418258667
19,400,-0.8117775321006775,-0.834665060043335
20,420,-0.7476363778114319,-0.7801475524902344
21,440,-0.743136465549469,-0.791490912437439
22,460,-0.7512648105621338,-0.7916856408119202
23,480,-0.7422903776168823,-0.7871959805488586
24,500,-0.7374038696289062,-0.7727801203727722
25,520,-0.7339564561843872,-0.7772776484489441
26,540,-0.7369577884674072,-0.7884474396705627
27,560,-0.7383396625518799,-0.7810319066047668
28,580,-0.7419087886810303,-0.7824985384941101
29,600,-0.7469435334205627,-0.7914138436317444
30,620,-0.7425714731216431,-0.7794104814529419
31,640,-0.7946587800979614,-0.8382552266120911
32,660,-0.7350260615348816,-0.7766153216362
33,680,-0.7604214549064636,-0.8000869154930115
34,700,-0.7521752715110779,-0.7978747487068176
35,720,-0.7549786567687988,-0.8005247116088867
36,740,-0.7295650839805603,-0.7583131790161133
37,760,-0.735154926776886,-0.78615802526474
38,780,-0.7925432920455933,-0.8338186740875244
39,800,-0.7344316244125366,-0.7760629653930664
40,820,-0.7340323328971863,-0.7817887663841248
41,840,-0.7308525443077087,-0.7881885766983032
42,860,-0.7398442625999451,-0.7839206457138062
43,880,-0.7528216242790222,-0.8002228736877441
44,900,-0.7453058958053589,-0.7776665091514587
45,920,-0.7359052896499634,-0.7829630374908447
46,940,-0.7567312717437744,-0.8084589242935181
47,960,-0.7429640293121338,-0.7906765341758728
48,980,-0.7470888495445251,-0.789921224117279
49,1000,-0.7321009039878845,-0.775281548500061
50,1020,-0.7341557741165161,-0.7827864289283752
51,1040,-0.7549678683280945,-0.7893068194389343
52,1060,-0.736688494682312,-0.7748148441314697
53,1080,-0.7510247230529785,-0.8012750744819641
54,1100,-0.748206615447998,-0.7987731099128723
55,1120,-0.7505331039428711,-0.7964969873428345
56,1140,-0.7448726296424866,-0.8011118173599243
57,1160,-0.7570437788963318,-0.8038305044174194
58,1180,-0.7528612613677979,-0.7917816638946533
59,1200,-0.7380096912384033,-0.7982799410820007
60,1220,-0.7700065970420837,-0.8032881021499634
61,1240,-0.7529024481773376,-0.791109025478363
62,1260,-0.776382327079773,-0.8270891308784485
63,1280,-0.7528684735298157,-0.777819037437439
64,1300,-0.7641816139221191,-0.8102238774299622
65,1320,-0.7965375781059265,-0.8274319767951965
66,1340,-0.802996814250946,-0.8435907959938049
67,1360,-0.746999204158783,-0.7965360283851624
68,1380,-0.7919554710388184,-0.8428295850753784
69,1400,-0.7637803554534912,-0.8141883015632629
70,1420,-0.7894243001937866,-0.817094624042511
71,1440,-0.7927528619766235,-0.8287433385848999
72,1460,-0.7491664886474609,-0.7907375693321228
73,1480,-0.7513841390609741,-0.7855619192123413
74,1500,-0.7642229795455933,-0.8005253672599792
75,1520,-0.7959015369415283,-0.8336963057518005
76,1540,-0.7451395392417908,-0.7803928852081299
77,1560,-0.7631098031997681,-0.7912607192993164
78,1580,-0.8110182285308838,-0.8560001850128174
79,1600,-0.7690188884735107,-0.8153828382492065
80,1620,-0.8190131783485413,-0.8635523915290833
81,1640,-0.7456814646720886,-0.8003584146499634
82,1660,-0.7695083618164062,-0.8073772192001343
83,1680,-0.7737330794334412,-0.8334028124809265
84,1700,-0.7637714743614197,-0.8046801686286926
85,1720,-0.7670710682868958,-0.8150280117988586
86,1740,-0.7833510637283325,-0.8205241560935974
87,1760,-0.7917511463165283,-0.8329108357429504
88,1780,-0.7613605260848999,-0.8099655508995056
89,1800,-0.748627781867981,-0.8024410605430603
90,1820,-0.7876142859458923,-0.8223257660865784
91,1840,-0.7696950435638428,-0.8016566038131714
92,1860,-0.7535823583602905,-0.7907443642616272
93,1880,-0.7777189016342163,-0.8359680771827698
94,1900,-0.7425674796104431,-0.8028325438499451
95,1920,-0.8064632415771484,-0.8660323619842529
96,1940,-0.7941529750823975,-0.8382543921470642
97,1960,-0.774069607257843,-0.8287074565887451
98,1980,-0.7875931859016418,-0.8267384171485901
99,2000,-0.8249461054801941,-0.8588162660598755
