epoch,cgan,klcgan,pearson,rklcgan,epoch,wcgan
20,-1.52078223228455,-1.4470089673996,-1.68108952045441,-1.45637631416321,100,-1.61102902889252
40,-1.37487828731537,-1.40458250045776,-1.43491470813751,-1.30165648460388,200,-1.58160269260407
60,-1.24093246459961,-1.23283672332764,-1.19956004619598,-1.30113446712494,300,-1.56228888034821
80,-1.23328900337219,-1.224289894104,-1.21708989143372,-1.23209977149963,400,-1.53302681446075
100,-1.20893013477325,-1.17827272415161,-1.23095953464508,-1.14518916606903,500,-1.4918429851532
120,-1.15249383449554,-1.14832878112793,-1.17549216747284,-1.13851737976074,600,-1.43868911266327
140,-1.12768316268921,-1.12953960895538,-1.13434553146362,-1.12777948379517,700,-1.38745665550232
160,-1.11309492588043,-1.10593247413635,-1.12583434581757,-1.11856544017792,800,-1.35272037982941
180,-1.09603142738342,-1.08640849590302,-1.11416661739349,-1.10624742507935,900,-1.34752511978149
200,-1.08234870433807,-1.10719430446625,-1.10955357551575,-1.11553299427032,1000,-1.34463667869568
220,-1.09154999256134,-1.11907684803009,-1.1238853931427,-1.14251041412354,1100,-1.30698716640472
240,-1.08574378490448,-1.10256659984589,-1.15143346786499,-1.16081237792969,1200,-1.25821709632874
260,-1.05404365062714,-1.09242796897888,-1.14790523052216,-1.19725751876831,1300,-1.21563065052032
280,-1.02921175956726,-1.06418645381928,-1.11755430698395,-1.19449687004089,1400,-1.17771208286285
300,-1.02457785606384,-1.0278559923172,-1.09817719459534,-1.18686950206757,1500,-1.15265345573425
320,-1.01230716705322,-1.00279939174652,-1.08732521533966,-1.18069803714752,1600,-1.14527118206024
340,-0.989803850650787,-0.978259682655335,-1.08565497398376,-1.15971148014069,1700,-1.14648997783661
360,-0.96333372592926,-0.966013908386231,-1.07664501667023,-1.15359306335449,1800,-1.14450240135193
380,-0.94513201713562,-0.93956583738327,-1.06774413585663,-1.17279171943665,1900,-1.13910043239594
400,-0.924826443195343,-0.924504399299622,-1.05765426158905,-1.13378012180328,2000,-1.13495492935181
420,-0.917397975921631,-0.921878755092621,-1.04719972610474,-1.11129915714264,2100,-1.13121438026428
440,-0.908740937709808,-0.910181820392609,-1.04228353500366,-1.0969101190567,2200,-1.13101756572723
460,-0.888276875019074,-0.894985258579254,-1.03111302852631,-1.10933971405029,2300,-1.12544775009155
480,-0.877318501472473,-0.888155460357666,-1.02202332019806,-1.11819422245026,2400,-1.12354016304016
500,-0.869301617145538,-0.886671543121338,-1.00417876243591,-1.10039353370667,2500,-1.12254464626312
520,-0.860338926315308,-0.875809729099274,-0.978697538375855,-1.05727362632751,2600,-1.11807346343994
540,-0.846322774887085,-0.864381730556488,-0.955601871013641,-1.10837984085083,2700,-1.11398124694824
560,-0.840610980987549,-0.858865737915039,-0.935491561889648,-1.06550896167755,2800,-1.11506545543671
580,-0.839502930641174,-0.853558897972107,-0.918846011161804,-1.06704378128052,2900,-1.10796856880188
600,-0.844221651554108,-0.845525860786438,-0.91172069311142,-1.04724931716919,3000,-1.10692858695984
620,-0.836542129516602,-0.826502740383148,-0.893552243709564,-1.03199768066406,3100,-1.10384333133698
640,-0.836216986179352,-0.831634283065796,-0.898225426673889,-1.05233263969421,3200,-1.1024307012558
660,-0.834454357624054,-0.804086685180664,-0.888406276702881,-1.12385618686676,3300,-1.09664225578308
680,-0.842945992946625,-0.808546721935272,-0.86750054359436,-1.07484841346741,3400,-1.09471678733826
700,-0.832707107067108,-0.809678375720978,-0.870751082897186,-1.09002757072449,3500,-1.09044933319092
720,-0.831709980964661,-0.807847797870636,-0.856421887874603,-1.06678211688995,3600,-1.0940181016922
740,-0.849637925624847,-0.79664558172226,-0.843295574188232,-1.10639572143555,3700,-1.08986592292786
760,-0.833515107631683,-0.808822810649872,-0.846507787704468,-1.09924352169037,3800,-1.08759450912476
780,-0.831723153591156,-0.802341878414154,-0.828820288181305,-1.15110492706299,3900,-1.08532857894897
800,-0.838836431503296,-0.806984126567841,-0.834031164646149,-1.10475063323975,4000,-1.08358561992645
820,-0.837404131889343,-0.822106420993805,-0.817073583602905,-1.07608675956726,4100,-1.08273041248322
840,-0.839328587055206,-0.798189520835876,-0.811530292034149,-1.05951607227325,4200,-1.08131635189056
860,-0.847993135452271,-0.789203464984894,-0.801476061344147,-1.12176787853241,4300,-1.07576215267181
880,-0.848885476589203,-0.78963029384613,-0.800128400325775,-1.07578921318054,4400,-1.08055686950684
900,-0.842927575111389,-0.786231875419617,-0.804403245449066,-1.12061202526093,4500,-1.07561802864075
920,-0.830677926540375,-0.810667634010315,-0.80110377073288,-1.09165370464325,4600,-1.07749581336975
940,-0.835620582103729,-0.792632460594177,-0.79263037443161,-1.11856591701508,4700,-1.0735924243927
960,-0.835829257965088,-0.785236179828644,-0.804004490375519,-1.15108680725098,4800,-1.07052981853485
980,-0.829621255397797,-0.787803471088409,-0.798143982887268,-1.2304071187973,4900,-1.07140386104584
1000,-0.822975754737854,-0.787641286849976,-0.789908230304718,-1.19183003902435,5000,-1.06917607784271
1020,-0.813811540603638,-0.795875787734985,-0.795000672340393,-1.15062022209167,5100,-1.06662714481354
1040,-0.808068513870239,-0.792772352695465,-0.790442645549774,-1.1766722202301,5200,-1.05352032184601
1060,-0.81033730506897,-0.781958639621735,-0.810583889484406,-1.15890514850616,5300,-1.05158591270447
1080,-0.807405948638916,-0.780389726161957,-0.781702041625977,-1.16657435894012,5400,-1.05172908306122
