,epoch,train,validation
0,20,-1.5121033191680908,-1.520782232284546
1,40,-1.3663504123687744,-1.3748782873153687
2,60,-1.2283949851989746,-1.2409324645996094
3,80,-1.2197376489639282,-1.2332890033721924
4,100,-1.2006242275238037,-1.2089301347732544
5,120,-1.1273268461227417,-1.1524938344955444
6,140,-1.1084176301956177,-1.127683162689209
7,160,-1.0853767395019531,-1.1130949258804321
8,180,-1.0758291482925415,-1.0960314273834229
9,200,-1.066426157951355,-1.0823487043380737
10,220,-1.0695621967315674,-1.0915499925613403
11,240,-1.0602320432662964,-1.08574378490448
12,260,-1.033864974975586,-1.0540436506271362
13,280,-0.9984848499298096,-1.0292117595672607
14,300,-0.982858419418335,-1.0245778560638428
15,320,-0.957967221736908,-1.0123071670532227
16,340,-0.9419824481010437,-0.9898038506507874
17,360,-0.9214823246002197,-0.9633337259292603
18,380,-0.9027177691459656,-0.9451320171356201
19,400,-0.8818038702011108,-0.924826443195343
20,420,-0.8684354424476624,-0.9173979759216309
21,440,-0.8625465631484985,-0.9087409377098083
22,460,-0.8447225093841553,-0.8882768750190735
23,480,-0.8386818170547485,-0.8773185014724731
24,500,-0.8301990628242493,-0.8693016171455383
25,520,-0.8222472071647644,-0.8603389263153076
26,540,-0.820215106010437,-0.846322774887085
27,560,-0.8094422221183777,-0.8406109809875488
28,580,-0.8150808811187744,-0.8395029306411743
29,600,-0.811012864112854,-0.8442216515541077
30,620,-0.8050844669342041,-0.8365421295166016
31,640,-0.8086010813713074,-0.8362169861793518
32,660,-0.8078130483627319,-0.834454357624054
33,680,-0.829646646976471,-0.8429459929466248
34,700,-0.8053613305091858,-0.8327071070671082
35,720,-0.8114023208618164,-0.8317099809646606
36,740,-0.8200019598007202,-0.8496379256248474
37,760,-0.8172900676727295,-0.8335151076316833
38,780,-0.8110315799713135,-0.831723153591156
39,800,-0.8170800805091858,-0.8388364315032959
40,820,-0.8113818168640137,-0.8374041318893433
41,840,-0.8253252506256104,-0.8393285870552063
42,860,-0.8167680501937866,-0.8479931354522705
43,880,-0.8118223547935486,-0.8488854765892029
44,900,-0.8184426426887512,-0.8429275751113892
45,920,-0.8125669956207275,-0.8306779265403748
46,940,-0.8080353736877441,-0.8356205821037292
47,960,-0.8061752319335938,-0.8358292579650879
48,980,-0.8058304190635681,-0.8296212553977966
49,1000,-0.7933077216148376,-0.822975754737854
50,1020,-0.7870619893074036,-0.8138115406036377
51,1040,-0.7914615869522095,-0.8080685138702393
52,1060,-0.7871347665786743,-0.8103373050689697
53,1080,-0.7820133566856384,-0.807405948638916
54,1100,-0.8035115599632263,-0.8338255882263184
55,1120,-0.7785117030143738,-0.8049187064170837
56,1140,-0.7789508700370789,-0.8014024496078491
57,1160,-0.7808868288993835,-0.7948178052902222
58,1180,-0.7696760296821594,-0.8094418048858643
59,1200,-0.7667372822761536,-0.8033997416496277
60,1220,-0.766229510307312,-0.790526270866394
61,1240,-0.7590775489807129,-0.7943069934844971
62,1260,-0.7672929763793945,-0.7986997961997986
63,1280,-0.7687268257141113,-0.8001290559768677
64,1300,-0.7645883560180664,-0.8026468753814697
65,1320,-0.7722243666648865,-0.7964016795158386
66,1340,-0.7779737710952759,-0.7988574504852295
67,1360,-0.7571967244148254,-0.7973911166191101
68,1380,-0.7693906426429749,-0.8144830465316772
69,1400,-0.7784801721572876,-0.8139904737472534
70,1420,-0.7790846228599548,-0.8178600072860718
71,1440,-0.7624406218528748,-0.7926529049873352
72,1460,-0.7688086628913879,-0.8079189658164978
73,1480,-0.7596908211708069,-0.7978492975234985
74,1500,-0.7857062220573425,-0.802276611328125
75,1520,-0.762191891670227,-0.7878565788269043
76,1540,-0.7646141648292542,-0.785468578338623
77,1560,-0.7638347744941711,-0.7995516657829285
78,1580,-0.7637790441513062,-0.7925288677215576
79,1600,-0.7593085169792175,-0.8016375303268433
80,1620,-0.7623531222343445,-0.7911446690559387
81,1640,-0.7459850907325745,-0.7920851111412048
82,1660,-0.7543947696685791,-0.7985699772834778
83,1680,-0.7560817003250122,-0.7894082069396973
84,1700,-0.7495005130767822,-0.8004781603813171
85,1720,-0.7584288716316223,-0.7839727997779846
86,1740,-0.7582050561904907,-0.7957609295845032
87,1760,-0.7535302639007568,-0.7868562936782837
88,1780,-0.7560020089149475,-0.8006324768066406
89,1800,-0.7529797554016113,-0.7947245240211487
90,1820,-0.7631893157958984,-0.8074723482131958
91,1840,-0.7512950897216797,-0.7937553524971008
92,1860,-0.7777331471443176,-0.8126002550125122
93,1880,-0.7502661347389221,-0.7932182550430298
94,1900,-0.739425539970398,-0.787956953048706
95,1920,-0.7516713738441467,-0.7906231880187988
96,1940,-0.7631986737251282,-0.7972872853279114
97,1960,-0.7573613524436951,-0.7808046936988831
98,1980,-0.7558373212814331,-0.7896876335144043
99,2000,-0.7650533318519592,-0.7963613867759705
