,epoch,train,validation
0,20,-1.4226676225662231,-1.4470089673995972
1,40,-1.3892549276351929,-1.4045825004577637
2,60,-1.2251116037368774,-1.2328367233276367
3,80,-1.2111923694610596,-1.224289894104004
4,100,-1.158933162689209,-1.1782727241516113
5,120,-1.124882698059082,-1.1483287811279297
6,140,-1.1041291952133179,-1.1295396089553833
7,160,-1.0835015773773193,-1.1059324741363525
8,180,-1.0676825046539307,-1.0864084959030151
9,200,-1.083304524421692,-1.1071943044662476
10,220,-1.092557430267334,-1.1190768480300903
11,240,-1.0752109289169312,-1.1025665998458862
12,260,-1.0513598918914795,-1.0924279689788818
13,280,-1.0196243524551392,-1.064186453819275
14,300,-0.989206075668335,-1.0278559923171997
15,320,-0.9565476179122925,-1.002799391746521
16,340,-0.9375590682029724,-0.9782596826553345
17,360,-0.9204005599021912,-0.9660139083862305
18,380,-0.9066619277000427,-0.9395658373832703
19,400,-0.891405463218689,-0.9245043992996216
20,420,-0.8813289403915405,-0.9218787550926208
21,440,-0.8683828115463257,-0.9101818203926086
22,460,-0.8618771433830261,-0.8949852585792542
23,480,-0.84645676612854,-0.888155460357666
24,500,-0.8494728207588196,-0.8866715431213379
25,520,-0.8470556735992432,-0.8758097290992737
26,540,-0.8269973993301392,-0.864381730556488
27,560,-0.8312398791313171,-0.8588657379150391
28,580,-0.8200434446334839,-0.8535588979721069
29,600,-0.8078296184539795,-0.845525860786438
30,620,-0.8051825165748596,-0.8265027403831482
31,640,-0.803432285785675,-0.8316342830657959
32,660,-0.7908535003662109,-0.8040866851806641
33,680,-0.7823145985603333,-0.8085467219352722
34,700,-0.7797848582267761,-0.8096783757209778
35,720,-0.7790097594261169,-0.807847797870636
36,740,-0.7698419690132141,-0.7966455817222595
37,760,-0.7727039456367493,-0.8088228106498718
38,780,-0.7765016555786133,-0.802341878414154
39,800,-0.7729501724243164,-0.8069841265678406
40,820,-0.7987186908721924,-0.8221064209938049
41,840,-0.7650957107543945,-0.7981895208358765
42,860,-0.766883373260498,-0.7892034649848938
43,880,-0.7642341256141663,-0.7896302938461304
44,900,-0.767623782157898,-0.7862318754196167
45,920,-0.7831985950469971,-0.8106676340103149
46,940,-0.7600629925727844,-0.7926324605941772
47,960,-0.7565776109695435,-0.7852361798286438
48,980,-0.7672883868217468,-0.7878034710884094
49,1000,-0.7551440596580505,-0.7876412868499756
50,1020,-0.7596596479415894,-0.7958757877349854
51,1040,-0.7628370523452759,-0.7927723526954651
52,1060,-0.7541585564613342,-0.7819586396217346
53,1080,-0.7473945021629333,-0.7803897261619568
54,1100,-0.748329758644104,-0.7821568846702576
55,1120,-0.7581189870834351,-0.7893370985984802
56,1140,-0.7801740169525146,-0.8037798404693604
57,1160,-0.7600273489952087,-0.7911486029624939
58,1180,-0.7581865191459656,-0.7953172326087952
59,1200,-0.7613534927368164,-0.7901371121406555
60,1220,-0.7736607789993286,-0.8080071806907654
61,1240,-0.7403426170349121,-0.7853451371192932
62,1260,-0.749406635761261,-0.7750310897827148
63,1280,-0.7511901259422302,-0.775704562664032
64,1300,-0.743092954158783,-0.7740464806556702
65,1320,-0.7535567879676819,-0.7802634835243225
66,1340,-0.7565521001815796,-0.7877999544143677
67,1360,-0.7736359238624573,-0.8118246793746948
68,1380,-0.7535876631736755,-0.7798072695732117
69,1400,-0.752382218837738,-0.7871996164321899
70,1420,-0.763288676738739,-0.7929434180259705
71,1440,-0.7477710247039795,-0.7735713124275208
72,1460,-0.748807966709137,-0.7756062746047974
73,1480,-0.749732494354248,-0.7885470986366272
74,1500,-0.7550251483917236,-0.7799370288848877
75,1520,-0.7619080543518066,-0.7960932850837708
76,1540,-0.776822566986084,-0.8177062273025513
77,1560,-0.7504882216453552,-0.7859660387039185
78,1580,-0.7632288336753845,-0.7952312231063843
79,1600,-0.7460567355155945,-0.7782096266746521
80,1620,-0.7506645321846008,-0.7900218963623047
81,1640,-0.7531236410140991,-0.7846258282661438
82,1660,-0.7592978477478027,-0.7856950759887695
83,1680,-0.7590460777282715,-0.7732964158058167
84,1700,-0.7664293646812439,-0.8041711449623108
85,1720,-0.7527260780334473,-0.7953569293022156
86,1740,-0.7879904508590698,-0.8036532402038574
87,1760,-0.7953947186470032,-0.8036640882492065
88,1780,-0.7891523241996765,-0.8234269022941589
89,1800,-0.7526772618293762,-0.7843409776687622
90,1820,-0.7764729857444763,-0.7949904799461365
91,1840,-0.7468379735946655,-0.7829176187515259
92,1860,-0.7562750577926636,-0.7817556262016296
93,1880,-0.7716082334518433,-0.8019858598709106
94,1900,-0.7454277276992798,-0.7727527618408203
95,1920,-0.7453908920288086,-0.7704148888587952
96,1940,-0.7381761074066162,-0.7758855819702148
97,1960,-0.7561305165290833,-0.793896496295929
98,1980,-0.7371833324432373,-0.7773929238319397
99,2000,-0.744339108467102,-0.7770227789878845
