,epoch,train,validation
0,20,-1.6663035154342651,-1.6810895204544067
1,40,-1.4124372005462646,-1.4349147081375122
2,60,-1.184607744216919,-1.1995600461959839
3,80,-1.2092959880828857,-1.2170898914337158
4,100,-1.211270809173584,-1.2309595346450806
5,120,-1.1524583101272583,-1.1754921674728394
6,140,-1.1173688173294067,-1.134345531463623
7,160,-1.1027257442474365,-1.125834345817566
8,180,-1.0934487581253052,-1.1141666173934937
9,200,-1.0923224687576294,-1.109553575515747
10,220,-1.098741888999939,-1.1238853931427002
11,240,-1.1289275884628296,-1.1514334678649902
12,260,-1.1254981756210327,-1.1479052305221558
13,280,-1.100379467010498,-1.1175543069839478
14,300,-1.0788942575454712,-1.098177194595337
15,320,-1.0732792615890503,-1.0873252153396606
16,340,-1.0587542057037354,-1.0856549739837646
17,360,-1.057780385017395,-1.076645016670227
18,380,-1.0453476905822754,-1.0677441358566284
19,400,-1.041257381439209,-1.0576542615890503
20,420,-1.028704047203064,-1.0471997261047363
21,440,-1.0231332778930664,-1.042283535003662
22,460,-1.0143986940383911,-1.0311130285263062
23,480,-0.9980541467666626,-1.022023320198059
24,500,-0.9821719527244568,-1.004178762435913
25,520,-0.9615973234176636,-0.9786975383758545
26,540,-0.9296621084213257,-0.9556018710136414
27,560,-0.9166386723518372,-0.9354915618896484
28,580,-0.8950337171554565,-0.9188460111618042
29,600,-0.8893795609474182,-0.9117206931114197
30,620,-0.8733065724372864,-0.8935522437095642
31,640,-0.8726639151573181,-0.8982254266738892
32,660,-0.8589684963226318,-0.8884062767028809
33,680,-0.8518720865249634,-0.8675005435943604
34,700,-0.8463591933250427,-0.8707510828971863
35,720,-0.8277220129966736,-0.8564218878746033
36,740,-0.8131197690963745,-0.8432955741882324
37,760,-0.8157761096954346,-0.8465077877044678
38,780,-0.7862241268157959,-0.8288202881813049
39,800,-0.7925387620925903,-0.8340311646461487
40,820,-0.7906660437583923,-0.8170735836029053
41,840,-0.7820975184440613,-0.8115302920341492
42,860,-0.7757752537727356,-0.8014760613441467
43,880,-0.7744128704071045,-0.8001284003257751
44,900,-0.7826894521713257,-0.8044032454490662
45,920,-0.7719951272010803,-0.8011037707328796
46,940,-0.7683608531951904,-0.7926303744316101
47,960,-0.7602073550224304,-0.8040044903755188
48,980,-0.7675240635871887,-0.7981439828872681
49,1000,-0.7620207667350769,-0.789908230304718
50,1020,-0.7658897042274475,-0.7950006723403931
51,1040,-0.7578871846199036,-0.7904426455497742
52,1060,-0.7768141031265259,-0.8105838894844055
53,1080,-0.7607923150062561,-0.7817020416259766
54,1100,-0.7544002532958984,-0.7869157195091248
55,1120,-0.768211841583252,-0.7795771360397339
56,1140,-0.7551707625389099,-0.7756672501564026
57,1160,-0.7711182236671448,-0.7915448546409607
58,1180,-0.7580969929695129,-0.7811295390129089
59,1200,-0.7724525332450867,-0.7892361879348755
60,1220,-0.7580733299255371,-0.7692073583602905
61,1240,-0.7626726627349854,-0.7798129916191101
62,1260,-0.7602634429931641,-0.7669957876205444
63,1280,-0.7556613087654114,-0.7854638695716858
64,1300,-0.7661705613136292,-0.779429018497467
65,1320,-0.7638859152793884,-0.7812754511833191
66,1340,-0.7525994181632996,-0.7778428792953491
67,1360,-0.7417360544204712,-0.7687687277793884
68,1380,-0.7617630958557129,-0.7757399678230286
69,1400,-0.751386821269989,-0.7715826034545898
70,1420,-0.7619485855102539,-0.7744970917701721
71,1440,-0.7733948826789856,-0.7912771701812744
72,1460,-0.7623382210731506,-0.7796582579612732
73,1480,-0.7534168362617493,-0.7703906893730164
74,1500,-0.7450152039527893,-0.7734262943267822
75,1520,-0.7780449390411377,-0.7924127578735352
76,1540,-0.7898570895195007,-0.8065973520278931
77,1560,-0.7719472646713257,-0.7787429094314575
78,1580,-0.7648338079452515,-0.7892025709152222
79,1600,-0.7417171001434326,-0.7668691277503967
80,1620,-0.759232759475708,-0.7705361247062683
81,1640,-0.7668352723121643,-0.789786159992218
82,1660,-0.7618417739868164,-0.7730739116668701
83,1680,-0.7557159662246704,-0.7693341374397278
84,1700,-0.758712887763977,-0.772446870803833
85,1720,-0.7697469592094421,-0.7843574285507202
86,1740,-0.7493922710418701,-0.770883321762085
87,1760,-0.75262451171875,-0.7742167115211487
88,1780,-0.7627989649772644,-0.7732200622558594
89,1800,-0.7528152465820312,-0.7599114775657654
90,1820,-0.7549055814743042,-0.7731682658195496
91,1840,-0.7514945268630981,-0.787606954574585
92,1860,-0.7783456444740295,-0.7969451546669006
93,1880,-0.7521795034408569,-0.7717893719673157
94,1900,-0.7438674569129944,-0.7713805437088013
95,1920,-0.7827279567718506,-0.7992802858352661
96,1940,-0.7969462275505066,-0.8116980791091919
97,1960,-0.7415643930435181,-0.7622646689414978
98,1980,-0.760063648223877,-0.7803413271903992
99,2000,-0.7524473667144775,-0.766852855682373
