,epoch,train,validation
0,20,-1.425053358078003,-1.456376314163208
1,40,-1.264971137046814,-1.3016564846038818
2,60,-1.2915270328521729,-1.301134467124939
3,80,-1.219516634941101,-1.2320997714996338
4,100,-1.1255170106887817,-1.1451891660690308
5,120,-1.1191368103027344,-1.1385173797607422
6,140,-1.1058357954025269,-1.127779483795166
7,160,-1.0843850374221802,-1.1185654401779175
8,180,-1.076218605041504,-1.1062474250793457
9,200,-1.0756889581680298,-1.1155329942703247
10,220,-1.1007466316223145,-1.1425104141235352
11,240,-1.1164429187774658,-1.1608123779296875
12,260,-1.15117609500885,-1.1972575187683105
13,280,-1.1454073190689087,-1.1944968700408936
14,300,-1.1353309154510498,-1.186869502067566
15,320,-1.1204694509506226,-1.180698037147522
16,340,-1.1001536846160889,-1.159711480140686
17,360,-1.0929923057556152,-1.1535930633544922
18,380,-1.1123051643371582,-1.1727917194366455
19,400,-1.0794744491577148,-1.1337801218032837
20,420,-1.0437982082366943,-1.1112991571426392
21,440,-1.0381330251693726,-1.0969101190567017
22,460,-1.0443947315216064,-1.109339714050293
23,480,-1.0676665306091309,-1.1181942224502563
24,500,-1.0451850891113281,-1.100393533706665
25,520,-0.999178409576416,-1.0572736263275146
26,540,-1.0580086708068848,-1.10837984085083
27,560,-1.008211374282837,-1.0655089616775513
28,580,-1.0018607378005981,-1.0670437812805176
29,600,-0.9932708144187927,-1.0472493171691895
30,620,-0.9767957329750061,-1.0319976806640625
31,640,-1.0079010725021362,-1.0523326396942139
32,660,-1.0767382383346558,-1.1238561868667603
33,680,-1.029749870300293,-1.0748484134674072
34,700,-1.0382345914840698,-1.0900275707244873
35,720,-1.022930383682251,-1.0667821168899536
36,740,-1.0693471431732178,-1.1063957214355469
37,760,-1.045398235321045,-1.0992435216903687
38,780,-1.100602149963379,-1.1511049270629883
39,800,-1.0514546632766724,-1.104750633239746
40,820,-1.0303632020950317,-1.0760867595672607
41,840,-1.0110713243484497,-1.0595160722732544
42,860,-1.0831611156463623,-1.1217678785324097
43,880,-1.0318533182144165,-1.075789213180542
44,900,-1.079437017440796,-1.1206120252609253
45,920,-1.0556939840316772,-1.0916537046432495
46,940,-1.0767558813095093,-1.1185659170150757
47,960,-1.0998518466949463,-1.1510868072509766
48,980,-1.1959055662155151,-1.2304071187973022
49,1000,-1.1483221054077148,-1.191830039024353
50,1020,-1.1038503646850586,-1.1506202220916748
51,1040,-1.1274076700210571,-1.1766722202301025
52,1060,-1.1128575801849365,-1.1589051485061646
53,1080,-1.1203832626342773,-1.1665743589401245
54,1100,-1.1477890014648438,-1.1992722749710083
55,1120,-1.2170085906982422,-1.2590078115463257
56,1140,-1.3449223041534424,-1.3881139755249023
57,1160,-1.2818230390548706,-1.3240199089050293
58,1180,-1.2928444147109985,-1.3419543504714966
59,1200,-1.2389127016067505,-1.2905665636062622
60,1220,-1.2739684581756592,-1.3223037719726562
61,1240,-1.3073163032531738,-1.35284423828125
62,1260,-1.3405201435089111,-1.386210560798645
63,1280,-1.3733739852905273,-1.4243659973144531
64,1300,-1.3905268907546997,-1.4362424612045288
65,1320,-1.326985239982605,-1.3768819570541382
66,1340,-1.3252710103988647,-1.371794581413269
67,1360,-1.3304829597473145,-1.3748085498809814
68,1380,-1.2788256406784058,-1.3308601379394531
69,1400,-1.331092119216919,-1.380982756614685
70,1420,-1.3650211095809937,-1.4031647443771362
71,1440,-1.2940583229064941,-1.3385354280471802
72,1460,-1.2987966537475586,-1.341867208480835
73,1480,-1.3745200634002686,-1.4194332361221313
74,1500,-1.4748281240463257,-1.5263515710830688
75,1520,-1.3534059524536133,-1.3949750661849976
76,1540,-1.2967991828918457,-1.3436274528503418
77,1560,-1.3860647678375244,-1.4311152696609497
78,1580,-1.3562941551208496,-1.3952516317367554
79,1600,-1.397617220878601,-1.4417269229888916
80,1620,-1.3944069147109985,-1.4421138763427734
81,1640,-1.3756496906280518,-1.4277507066726685
82,1660,-1.3740572929382324,-1.4150537252426147
83,1680,-1.3485398292541504,-1.3978590965270996
84,1700,-1.423874855041504,-1.4788377285003662
85,1720,-1.282892107963562,-1.3294059038162231
86,1740,-1.2956600189208984,-1.3453948497772217
87,1760,-1.2371530532836914,-1.2848494052886963
88,1780,-1.3028647899627686,-1.347228765487671
89,1800,-1.3208715915679932,-1.368898868560791
90,1820,-1.4365551471710205,-1.4978569746017456
91,1840,-1.380918025970459,-1.4339618682861328
92,1860,-1.4047268629074097,-1.452833652496338
93,1880,-1.3684144020080566,-1.4206615686416626
94,1900,-1.296964406967163,-1.349523901939392
95,1920,-1.393634557723999,-1.4419236183166504
96,1940,-1.4088289737701416,-1.4644455909729004
97,1960,-1.3888148069381714,-1.4336779117584229
98,1980,-1.3986732959747314,-1.4491416215896606
99,2000,-1.441799521446228,-1.4963045120239258
