,epoch,discriminator,discriminator (val),generator,Actual wasserstein-1 distance (Validation),Estimated Wasserstein-1 distance (Training),Estimated wasserstein-1 distance (Validation),Actual Wasserstein-2 distance,Mean Cond. Wasserstein-1 dist (Test),Mean Cond. Wasserstein-2 dist (Test)
0,20,-0.20749691128730774,-0.03336001932621002,0.4791090190410614,0.5245794,-0.10845465213060379,-0.04305608570575714,0.57082963,26.421324,27.572851
1,40,-0.13142496347427368,0.6107622981071472,2.0515904426574707,0.6122046,-0.07050567120313644,0.2333613485097885,0.6552851,39.95108,44.617985
2,60,-0.12301842123270035,-0.11543615907430649,2.990431547164917,0.17097071,-0.06685352325439453,-0.05531378462910652,0.21442954,9.963257,11.5552635
3,80,-0.3277447521686554,-0.15611369907855988,3.8549253940582275,0.16103794,-0.14730066061019897,-0.07455722987651825,0.18424147,9.864525,13.139674
4,100,-0.3201659619808197,0.024916812777519226,4.680671215057373,0.18422376,-0.16499917209148407,-0.037189267575740814,0.2246595,12.311357,15.745981
5,120,-0.13428223133087158,-0.19066841900348663,5.195097923278809,0.12162076,-0.09453194588422775,-0.1018156036734581,0.13819686,10.043997,12.766484
6,140,-0.3317025899887085,0.02657480537891388,4.424368381500244,0.118614435,-0.160760760307312,-0.04901834949851036,0.1505633,11.127063,12.761655
7,160,-0.14534294605255127,-0.0791267603635788,6.024296283721924,0.12674649,-0.060761213302612305,-0.03273216634988785,0.14308937,8.019678,9.438622
8,180,-0.22709758579730988,-0.10220171511173248,5.132531642913818,0.08200799,-0.11791802942752838,-0.051292404532432556,0.10609991,9.169615,10.241958
9,200,0.0027364566922187805,0.08140502870082855,6.322043418884277,0.24811685,-0.022358518093824387,0.016808699816465378,0.27756432,7.5052905,8.459308
10,220,-0.015103070065379143,-0.10244783014059067,7.419816493988037,0.07336262,-0.011812263168394566,-0.04171409830451012,0.093710475,8.62158,9.893614
11,240,-0.1032457947731018,-0.11920767277479172,6.4756340980529785,0.06759009,-0.05024360865354538,-0.045626018196344376,0.08765637,8.130833,9.214091
12,260,-0.12190902233123779,-0.09113019704818726,9.645020484924316,0.11986828,-0.053452156484127045,-0.04194417968392372,0.1478049,7.5142326,8.572434
13,280,-0.1256190538406372,-0.17903189361095428,11.051465034484863,0.062238675,-0.05856938660144806,-0.06981145590543747,0.07887633,7.324144,8.46473
14,300,-0.3139806091785431,-0.18796372413635254,12.006562232971191,0.06542285,-0.133759543299675,-0.06213220953941345,0.08107433,6.8622494,7.8340564
15,320,-0.34928616881370544,-0.33737775683403015,18.56552505493164,0.06230082,-0.13964764773845673,-0.10720474272966385,0.077276334,6.744097,7.7634406
16,340,-0.5603674054145813,-0.4869031012058258,24.481473922729492,0.07187958,-0.1723478138446808,-0.13808679580688477,0.09374665,7.0164227,7.9323187
17,360,-0.8243969678878784,-0.5508903861045837,32.636695861816406,0.06381244,-0.21375255286693573,-0.17126861214637756,0.07450597,6.2191815,7.1961083
18,380,-0.6284661889076233,-0.6328248977661133,33.927001953125,0.115626,-0.2139945775270462,-0.1646190583705902,0.15232809,6.0657015,6.772138
19,400,-0.7411995530128479,-0.7544580698013306,35.63240432739258,0.05728408,-0.2416997104883194,-0.2153419405221939,0.08173563,5.9760437,6.771196
20,420,-0.9247406721115112,-0.7029434442520142,40.93899154663086,0.15761288,-0.29800403118133545,-0.20765233039855957,0.2290335,5.9715405,6.703011
21,440,-0.8957067728042603,-0.7931255102157593,40.85026168823242,0.10945931,-0.3188389837741852,-0.22576068341732025,0.14150934,6.0505767,6.8453484
22,460,-0.94971764087677,-0.840221643447876,39.98100662231445,0.15529592,-0.3089516758918762,-0.2674000561237335,0.18977354,6.3572063,6.9306026
23,480,-0.716768741607666,-0.8409242630004883,42.053855895996094,0.13106571,-0.23328383266925812,-0.23458005487918854,0.15298799,6.4810863,7.2034492
24,500,-0.9299057722091675,-0.7888721227645874,45.31480026245117,0.21876532,-0.2918957769870758,-0.2157764732837677,0.2819112,5.880289,6.623685
25,520,-0.9630863666534424,-0.749758243560791,41.09161376953125,0.17053065,-0.28738588094711304,-0.25214117765426636,0.2396316,6.363623,7.04431
26,540,-0.7544968128204346,-0.852940022945404,40.53974151611328,0.18601139,-0.29158395528793335,-0.26577693223953247,0.20928149,6.519357,7.163126
27,560,-1.0275719165802002,-0.9078186750411987,36.688209533691406,0.16714776,-0.32921290397644043,-0.2461598962545395,0.21245894,5.744871,6.4507127
28,580,-0.7878632545471191,-0.9107519388198853,38.83734893798828,0.14327596,-0.28410622477531433,-0.25191304087638855,0.16225949,5.9252605,6.6370196
29,600,-0.9287042617797852,-0.9235069155693054,42.1689338684082,0.18116435,-0.26004523038864136,-0.2779683470726013,0.198471,6.9837666,7.728706
30,620,-0.9273613691329956,-0.7691043615341187,36.56045150756836,0.13862818,-0.31025969982147217,-0.23543551564216614,0.21862057,6.1835876,6.9465437
31,640,-0.9943767786026001,-0.9116787910461426,33.04886245727539,0.15887538,-0.28704819083213806,-0.2926703989505768,0.18657133,5.810577,6.6554747
32,660,-0.9726186394691467,-0.9287833571434021,32.89751052856445,0.1546892,-0.2920174300670624,-0.26035210490226746,0.20684412,5.85002,6.6823864
33,680,-0.8152913451194763,-0.9438074827194214,32.76692199707031,0.12607671,-0.24148428440093994,-0.2781616151332855,0.15776487,5.7341466,6.496561
34,700,-1.0018906593322754,-0.9700455665588379,31.082416534423828,0.20308188,-0.30366772413253784,-0.3040383756160736,0.25822496,5.832277,6.5700517
35,720,-1.0189180374145508,-0.8825036287307739,33.038700103759766,0.22738534,-0.3757752776145935,-0.2589331567287445,0.3297124,6.0648136,6.938712
36,740,-0.5927773714065552,-0.9774391651153564,26.97612762451172,0.25099725,-0.3063585162162781,-0.3035018742084503,0.27324536,8.032265,8.9299555
37,760,-1.0818016529083252,-0.8955769538879395,27.882347106933594,0.18761864,-0.33216598629951477,-0.2854819893836975,0.20191601,6.431563,7.200925
38,780,-0.9991403222084045,-0.9449477195739746,27.207992553710938,0.15916651,-0.3109751343727112,-0.2846846282482147,0.18323295,6.7349176,7.3236217
39,800,-1.2161070108413696,-0.9318591356277466,30.430124282836914,0.17897403,-0.35361987352371216,-0.2817060947418213,0.20715313,6.3822255,7.418093
40,820,-1.0579519271850586,-0.9386537075042725,26.56015968322754,0.25151592,-0.31716397404670715,-0.2877522110939026,0.29437086,7.634716,8.38187
41,840,-0.9004783034324646,-0.9064608812332153,23.6595458984375,0.18423843,-0.2794964015483856,-0.25960206985473633,0.24162173,5.8089104,6.571597
42,860,-0.8640596866607666,-0.9399637579917908,28.27895164489746,0.18740998,-0.310179203748703,-0.3031110167503357,0.23341937,6.866427,7.6505322
43,880,-1.0101494789123535,-0.9236080646514893,22.096435546875,0.15134367,-0.3308650851249695,-0.28091031312942505,0.18383786,6.1742916,7.065818
44,900,-0.8443797826766968,-1.0056685209274292,23.470014572143555,0.29530576,-0.252675324678421,-0.279352605342865,0.30824882,7.3632483,8.3558235
